"taxon","stamenNumber","filament_color","nectary_presence","InfType","CalShape","FlowMerosity","inflorescence_peduncle_length_mean","inflorescence_length_mean","CalLengthMean","ColLengthMean","FilLengthMean","rate"
"Mimosa diplotricha",0,2,NA,2,0,1,10.5,NA,0.3,2.05,4,0.00636940938095629
"Mimosa gracilis",0,2,NA,2,0,1,27.5,NA,0.3,2,4,0.00489541762579658
"Mimosa orthocarpa",0,2,NA,2,0,1,20,7.5,0.35,2.7,5.5,0.00298151026094777
"Mimosa cruenta",2,2,NA,2,0,2,26,NA,0.95,3,4.75,0.00616203990928039
"Mimosa lepidota",0,0,NA,2,0,1,22.5,5.25,1.3,4.25,4.75,0.00300643068861288
"Mimosa caesalpiniifolia",0,0,NA,0,NA,0,50,NA,0.55,1.95,5.75,0.00536918797271844
"Mimosa laticifera",0,0,NA,2,0,0,9,NA,0.75,2.45,4.5,0.00295657208786774
"Mimosa guaranitica",0,2,NA,2,0,0,42.5,5.25,NA,2.55,5.25,0.0068742070748799
"Mimosa cordistipula",0,2,NA,2,NA,0,37.5,NA,0.6,3,5.5,0.00409901361298354
"Mimosa quadrivalvis",0,0,NA,2,0,2,67,NA,0.45,3.15,5.75,0.00673802338544334
"Mimosa hystricina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00294601218043466
"Mimosa latidens",NA,NA,NA,2,NA,NA,32.5,6,NA,NA,NA,0.00359839036602781
"Mimosa invisa",1,2,NA,2,0,2,9.5,46.5,0.4,2,5.75,0.00122733254771064
"Mimosa leptocarpa",1,NA,NA,2,NA,2,13.5,NA,NA,3.1,3.5,0.00336773548106685
"Mimosa antioquensis",1,NA,NA,2,0,2,12,5.75,0.7,2.3,1.75,0.00589943510277938
"Mimosa aurivillus",1,1,NA,2,1,1,30,7.5,0.225,2.25,3.35,0.00838513249807652
"Mimosa scabrella",1,1,NA,2,0,1,13,8.5,0.6,2.55,4,0.00501120828960396
