"taxon","habit","root_system","height_min","height_low","height_high","height_max","height_unit","inflorescence_type","inflorescence_shape","inflorescence_length_min","inflorescence_length_low","inflorescence_length_high","inflorescence_length_max","inflorescence_length_unit","inflorescence_width_min","inflorescence_width_low","inflorescence_width_high","inflorescence_width_max","inflorescence_width_unit","inflorescence_peduncle_length_min","inflorescence_peduncle_length_low","inflorescence_peduncle_length_high","inflorescence_peduncle_length_max","inflorescence_peduncle_length_unit","flower_merosity","pedicel_length_min","pedicel_length_low","pedicel_length_high","pedicel_length_max","pedicel_length_unit","pedicel_width_min","pedicel_width_low","pedicel_width_high","pedicel_width_max","pedicel_width_unit","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","calyx_length_min","calyx_length_low","calyx_length_high","calyx_length_max","calyx_length_unit","calyx_lobe_length_min","calyx_lobe_length_low","calyx_lobe_length_high","calyx_lobe_length_max","calyx_lobe_length_unit.","corolla_length_min","corolla_length_low","corolla_length_high","corolla_length_max","corolla_length_unit","corolla_lobe_length_min","corolla_lobe_length_low","corolla_lobe_length_high","corolla_lobe_length_max","corolla_lobe_length_unit","corolla_lobe_width_min","corolla_lobe_width_low","corolla_lobe_width_high","corolla_lobe_width_max","corolla_lobe_width_unit","stamen_count","filament_length_min","filament_length_low","filament_length_high","filament_length_max","filament_length_unit","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence"
"Calliandra_pittieri","shrubs and trees",NA,NA,NA,"20",NA,"m","capitula","hemispherical",NA,NA,NA,NA,NA,"2","2","4","4","mm",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"0.4","0.9",NA,"",NA,NA,"yes",NA,NA,NA,"1.3","3.5",NA,"mm",NA,"0.3","0.6",NA,"mm",NA,NA,"9.5",NA,"mm",NA,NA,NA,NA,"mm",NA,NA,NA,NA,NA,NA,"2.7","3","6.2","6.2","cm","pallid at base and crimson distally, rarely crimson throughout",NA,"present",NA,NA,NA,""
"Calliandra_pittieri_pittieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_pittieri_polyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_purdiei","arborescent skrubs",NA,"1.5","2","8",NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,"2.5","5.5",NA,"mm","2","2.5","5.5",NA,"cm","5","0.7","1.2","2.7",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,"4","5.3","7.2",NA,"mm",NA,NA,NA,NA,NA,NA,"10","11.5",NA,"mm",NA,"2.2","3.5",NA,"mm",NA,NA,NA,NA,NA,NA,"4.4",NA,"6.5",NA,"cm","carmine",NA,"present",NA,NA,NA,""
"Calliandra_glomerulata","shrubs",NA,"1","2","8","18","m","capitula",NA,NA,"1","2",NA,"mm",NA,NA,NA,NA,NA,"4",NA,"18",NA,"mm","4 (5)-merous","0.3",NA,"1",NA,"mm","0.5",NA,"1.1",NA,"mm","bisexual","staminate","dimorphic",NA,"campanulate or turbinate-campanulate","1.4","1.8","3.2",NA,"mm","1.2","1.6","2.7",NA,"mm",NA,"4.5","7.1",NA,"mm","1.2","1.6","2.7",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"30","39",NA,"mm","pink-carmine",NA,"obscure","staminal tube present in terminal flower","present in terminal flower","present",""
"Calliandra_glomerulata_glomerulata",NA,NA,"140",NA,"1400",NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_glomerulata_parvifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_cruegeri","Arborescent shrubs",NA,"1","2","6",NA,"m","capitula","subglobose or claviform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","3","3","mm",NA,"0","0","0.45",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"yes",NA,"campanulate","1.8","1.8","2.9","2.9","mm",NA,"0.3","0.55",NA,"mm",NA,"4.3","6.2",NA,"mm",NA,"1.4","2",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"17","24",NA,"mm","whitish proximally, pink distally",NA,"present",NA,NA,"present",""
"Calliandra_tolimensis","arborescent shrubs",NA,"2",NA,"8",NA,"m","capitula","clavate or subspherical","3","3","8",NA,"mm","3","3","3.5",NA,"mm","1.5","2","8",NA,"cm","5","1",NA,"3.3",NA,"mm","0.8",NA,"1.8",NA,"mm",NA,NA,"yes",NA,"deeply campanulate or narrowly um-shaped","4","4","6","6","mm",NA,"1.3","1.3","1.3","mm",NA,"9.5","14.5",NA,"mm","1.4","3.5","5.5",NA,"mm",NA,NA,NA,NA,NA,"30","4.4","4.4","6.6","6.6","cm","white proximally, carmine distally",NA,"present",NA,"present","present",""
"Calliandra_laxa","Arborescent shrubs",NA,NA,"2","15","25","m","capitula","hemispherical or shortly claviform","1.5","1.5","2",NA,"mm",NA,NA,NA,NA,NA,"0.6",NA,"6","6.5","cm","5","0.3","0.3","1.2","1.2","mm","0.6","0.6","1.2","1.2","mm",NA,NA,"yes",NA,"narrowly campanulate or turbinate-campanulate","1.4","1.4","2.6","3","mm",NA,NA,NA,NA,NA,NA,"4.5","8.5",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","41",NA,"mm","pink or crimson",NA,"present",NA,NA,"present",""
"Calliandra_laxa_laxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6","3.5",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_laxa_stipulacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"6","6.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_laxa_urimana",NA,NA,NA,"370","400",NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5","4",NA,"cm",NA,"2.5",NA,"4",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_rubescens","shrub",NA,"0.5","0.5","4.5","5.5","m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7",NA,"3.5","4","cm","5","0.35","0.35","0.6","0.6","mm","0.55","0.55","1.2","1.2","mm",NA,NA,"yes",NA,NA,"1.5","1.7","3.4","3.6","mm","0.1","0.5","0.8",NA,"mm","4.5","5.4","8.7",NA,"mm",NA,NA,NA,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"22","32",NA,"mm","pallid",NA,"present","present","present","present",""
"Calliandra_belizensis","arborescent shrubs",NA,NA,"2","9",NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeply campanulateellipsoid","4.5","4.5","7.2","7.2","mm",NA,NA,NA,NA,NA,NA,"9","13",NA,"mm",NA,"2","3.2",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"4","4.8",NA,"cm","white",NA,"present",NA,NA,"absent",""
"Calliandra_goldmanii","trees",NA,NA,NA,NA,NA,NA,"capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","28","28","mm","4 (5)-merous",NA,NA,"0.4",NA,"mm",NA,NA,"0.8",NA,"mm",NA,NA,"present",NA,NA,"3.2",NA,"5",NA,"mm",NA,NA,NA,NA,NA,"3",NA,"9.5",NA,"mm","2",NA,"3",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"3.6","4",NA,"cm","white in lower half, the tassel deep pink or carmine",NA,"present",NA,NA,NA,""
"Calliandra_bijuga",NA,NA,NA,"4","5",NA,"m","capitula",NA,"1.6",NA,"4.3",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,"campanulate","1","1.3","2.6",NA,"mm","0.15",NA,"0.3",NA,"mm","5.5",NA,"7",NA,"mm","1.1",NA,"2",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deep crimson-red throughout, or distally pink",NA,"present",NA,NA,"present",""
"Calliandra_molinae","arborescent shrubs",NA,"0.5","2","6",NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"mm","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"campanulate","3.4","3.4","4.1","4.1","mm","0.6","0.6","1.2","1.2","mm",NA,"7",NA,NA,"mm",NA,"1.6","2.7",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,"mm","pallid proximally, pink distally",NA,"present",NA,NA,"present",""
"Calliandra_hirsuta","Shrubs",NA,"1","2","12","20","dm","capitula","umbelliform","1",NA,"4.5","6","cm",NA,NA,NA,NA,NA,"1",NA,"4.5","6","cm",NA,"0.2","0.2","1.2",NA,"mm","0.3","0.3","0.9","0.9","mm",NA,NA,"homomorphic",NA,"campanulate, deeply campanulate, turbinate-campanulate or hemispherical","1.3","1.3","2.6","3.2","mm","1","1.3","3.2","4","mm",NA,"6","9","9.8","mm","1","1.3","3.2","4","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",NA,"present",NA,NA,NA,""
"Calliandra_peninsularis","shrubs",NA,NA,NA,"2",NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mm","5","0.5","0.5","0.7",NA,"mm","0.3","0.3","0.4",NA,"mm","yes",NA,"no",NA,"campanulate","1.6","1.6","2","2","mm","0.25","0.25","0.35","0.35","mm","6.6","6.6","8","8","mm",NA,"1.4","1.4",NA,"mm",NA,"0.9","0.9",NA,"mm",NA,NA,"17.5","23",NA,"mm","red",NA,"present",NA,NA,"present",""
"Calliandra_sesquipedalis","shrubfet",NA,NA,"3","6",NA,"dm","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","2.5",NA,"4",NA,"mm","0.5",NA,NA,NA,"mm",NA,NA,"homomorphic",NA,"shallowly campanulate",NA,"1.2","1.7",NA,"mm",NA,"0.6","0.6",NA,"mm",NA,"4.5","4.5",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"cm","red-pink",NA,"present",NA,NA,NA,""
"Calliandra_californica","shrubs",NA,"0.5","0.8","2",NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","6","17","20","mm","5","0.15",NA,"0.6","0.8","mm","0.3",NA,"0.6",NA,"mm",NA,"some staminate only","homomorphic",NA,"campanulate or hemispherical","1","1.2","1.7",NA,"mm",NA,NA,NA,NA,NA,"5.5","5.8","7.2",NA,"mm","1.6","1.8","2.4",NA,"mm",NA,NA,NA,NA,NA,"17(30)",NA,NA,NA,NA,NA,"red-crimson",NA,"present",NA,NA,NA,""
"Calliandra_eriophylla","shrubs",NA,"1.5",NA,"6",NA,"dm","capitula",NA,NA,"3","16","24","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"0","0.7",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"the fls homomorphic",NA,"shallowly campanulate or patelliform","0.6","0.6","2.1","2.4","mm","0.3","0.3","0.6","0.6","mm","2.4","3.4","5.5",NA,"mm","1.5","1.8","2.4","2.8","mm",NA,NA,NA,NA,NA,NA,"13","16","24","27","mm","pink or crimson",NA,"present",NA,NA,"present",""
"Calliandra_eriophylla_eriophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_eriophylla_chamaedrys",NA,NA,NA,NA,NA,NA,NA,"capitulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_humilis","subskrubs","woody root and superficial or shallowly subterranean rhizomatous caudex",NA,NA,NA,NA,"dm","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"32","40","mm","4(-5)-merous",NA,NA,"1","2.5","mm",NA,NA,NA,NA,NA,NA,NA,"homomorphic",NA,"campanulate",NA,NA,NA,NA,"mm",NA,"0.3","0.7",NA,"mm","4.4","4.8","6.4","7.5","mm",NA,"0.7","1.3",NA,"mm",NA,NA,NA,NA,NA,NA,"10","11","15","28","mm","pink or white",NA,"present",NA,NA,"present",""
"Calliandra_humilis_humilis",NA,NA,"950","1200","2250","2400","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pink",NA,NA,NA,NA,NA,""
"Calliandra_humilis_gentryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_humilis_reticulata",NA,NA,NA,NA,"1",NA,"dm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Calliandra_tumbeziana","shrubs",NA,NA,NA,"3",NA,"m","capitula","hemispherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,"4",NA,"cm",NA,NA,NA,"0.3",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"narrowly campanulate","2.2","2.2","2.4","2.4","mm",NA,NA,"0.4",NA,"mm",NA,"8",NA,NA,"mm",NA,"1",NA,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"21","23",NA,"mm","white",NA,"present","present",NA,"no",""
"Calliandra_taxifolia","diffuse shrubs and bushy, even subarborescent shrubs",NA,"2","3","18",NA,"dm","capitula","umbelliform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","22",NA,"mm","19(32)-merous","0.2","0.2","1.2","1.2","mm","0.3","0.3","0.8","0.8","mm",NA,NA,"yes",NA,"shallow-campanulate",NA,NA,"1","1.4","mm",NA,"0.3","0.5",NA,"mm","4.5","5","9.5","11","mm",NA,"0.5","2.8",NA,"mm",NA,NA,NA,NA,NA,"19","14.5","16","25",NA,"mm","crimson",NA,"present",NA,NA,NA,""
"Calliandra_parvifolia","arborescent shrubs or subshrubs",NA,"0.5","1","4",NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm",NA,"0.4","0.7","4","4.5","mm",NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"vase-shaped","1.8","1.8","2.6","3","mm",NA,NA,NA,NA,NA,"4.2","4.2","7","7","mm","1.1","1.1","1.6","1.6","mm",NA,NA,NA,NA,NA,NA,"19","21","50","54","mm","white or pallid in lower half, carmine distally, the color deepening with age",NA,NA,NA,NA,"present",""
"Calliandra_foliolosa","shrubs",NA,NA,NA,NA,NA,NA,"capitula","umbelliform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5","5.5",NA,"cm",NA,NA,NA,NA,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"4.5","4.5","7","7","mm","1.6","1.6","3.5","3.5","mm","7.5","8","11","13.5","mm",NA,"2.2","3.5",NA,"mm",NA,NA,NA,NA,NA,NA,"43","43","55","55","mm","white or pale pink proximally, pink or crimson distally",NA,"present",NA,NA,"present",""
"Calliandra_tweediei","Arborescent shrubs and treelets",NA,"1","1","3","5","m","capitula","umbelliform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","5","cm",NA,"0.5",NA,"4",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"yes",NA,"turbinate",NA,NA,NA,NA,"mm","1.3","1.5","3",NA,"mm","5","6","9","9.5","mm","1.6",NA,"3","3.6","mm",NA,NA,NA,NA,NA,NA,NA,"32","48",NA,"mm","red",NA,"present",NA,NA,NA,""
"Calliandra_bella","arborescent shrubs",NA,NA,"2","6",NA,"m","capituliform racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2.5","7.5",NA,"cm",NA,"0.7","0.7","2.4",NA,"mm","0.6","0.6","1.5",NA,"mm",NA,NA,"yes",NA,"campanulate","2","2","4.3","4.3","mm","0.4","0.4","1","1","mm",NA,"7","9",NA,"mm",NA,"2.8","3.7",NA,"mm",NA,NA,NA,NA,NA,NA,NA,"3.5","5.8",NA,"cm","white",NA,"present",NA,NA,"absent",""
"Calliandra_subspicata","shrubs",NA,NA,"1","2",NA,"m","capitula","ellipsoid","5",NA,"9",NA,"mm",NA,NA,NA,NA,NA,NA,"12","21",NA,"mm","5","0.8","0.8","1.8","1.8","mm","0.4","0.4","1.1","1.1","mm",NA,NA,NA,NA,NA,"2.4","2.4","4","4","mm","0.3","0.6","1.2",NA,"mm",NA,"6.8","10",NA,"mm",NA,"2.2","4",NA,"mm",NA,NA,NA,NA,NA,"24",NA,"3.8","7",NA,"cm","white",NA,"present",NA,"present",NA,""
"Calliandra_dysantha","subshrubs","xylopodium","1.5","2","14","20","dm","capitula",NA,NA,"2","3.5",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","0.8",NA,"5.2",NA,"mm",NA,NA,NA,NA,NA,NA,"yes","yes",NA,"turbinate","4","4","7.5","8","mm","0.4","0.4","3",NA,"mm","8.5","10","14","15","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.3","3.3","5.7","6.5","cm","blood-red",NA,"present",NA,NA,"absent",""
"Calliandra_dysantha_dysantha","virgate, simple or few-branched distally","rootstock","3","4","14","20","dm","capitulum",NA,NA,NA,NA,NA,"cm",NA,NA,NA,NA,NA,NA,NA,"1.5","2.5","cm",NA,NA,"0","1.5","2.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","7.5","7.5","mm",NA,NA,NA,NA,NA,NA,"9.5","14","15","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blood-red",NA,NA,NA,NA,NA,""
"Calliandra_dysantha_macrocephala","herbaceous","frutescent caudex or knotty xylopodium",NA,"1.5","3",NA,"dm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5","5.5",NA,"cm",NA,NA,NA,"2",NA,"mm",NA,NA,"2.8",NA,"mm",NA,NA,NA,NA,NA,NA,"4.5","5.5",NA,"mm",NA,NA,NA,NA,NA,NA,"13","14",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,NA,NA,NA,NA,"pink proximally, white distally",NA,NA,NA,NA,NA,""
"Calliandra_dysantha_opulenta","herbaceous","oblique rootstock",NA,"2","10",NA,"dm","capitulorum",NA,NA,"22","50",NA,"mm",NA,NA,NA,NA,NA,"15","22","50",NA,"mm",NA,"2","3","5.2",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5.5",NA,"mm",NA,NA,NA,NA,NA,NA,"12","14",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pink at base, white distally",NA,NA,NA,NA,NA,""
"Calliandra_dysantha_turbinata","Shrubs",NA,NA,"1","3",NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5","5.5",NA,"cm",NA,"1.5",NA,"5.5",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"8.5",NA,"mm",NA,NA,NA,NA,NA,NA,"9","13",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46","52",NA,"mm","white",NA,NA,NA,NA,NA,""
"Calliandra_gardneri","herbaceous subshrub","oblique woody rootstock",NA,"2","3",NA,"dm","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mm",NA,"6","12",NA,"cm",NA,"1","1","2.5",NA,"mm","1.4","1.4","2",NA,"mm",NA,NA,"almost",NA,"campanulate","3","3","5","5","mm","1.4","1.4","2.2","2.2","mm",NA,"13","17",NA,"mm",NA,"4.5","7.5",NA,"mm",NA,NA,NA,NA,NA,"46","6","6","7.4","7.4","cm","carmine proximally, whitish distally",NA,"present",NA,NA,NA,""
"Calliandra_macrocalyx","shrubs",NA,"1",NA,"5",NA,"m","capitate units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 (5)-merous",NA,NA,"5",NA,"mm",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"7.5","7.5","15","15","mm",NA,"1.5","4.2",NA,"mm","10","14","21",NA,"mm","3.5",NA,"9",NA,"mm",NA,NA,NA,NA,NA,"185","5","5","9","9","cm","white, rubescent",NA,"present",NA,NA,"absent",""
"Calliandra_macrocalyx_macrocalyx",NA,NA,NA,"5","7",NA,"cm",NA,NA,NA,"5","7",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","7",NA,"cm",NA,NA,NA,NA,NA,NA,""
"Calliandra_macrocalyx_acuta","subshrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,"cm",NA,NA,NA,NA,NA,NA,""
"Calliandra_fernandesii","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,"4",NA,"cm","5","0.3","0.3","1","1","mm","0.5","0.5","0.9","0.9","mm",NA,NA,NA,NA,"campanulate",NA,"2","2",NA,"mm",NA,"0.5","0.7",NA,"mm",NA,"6.5","7.5",NA,"mm",NA,"2.2","3.8",NA,"mm",NA,NA,NA,NA,NA,"28",NA,"2.45",NA,NA,"cm","red",NA,"present",NA,NA,NA,""
"Calliandra_ulei","shrubs",NA,NA,"1","3",NA,"m","capitula",NA,NA,"2","3",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm","5","8","8","12","12","mm",NA,NA,NA,NA,"mm",NA,NA,"yes",NA,NA,NA,"1.2","1.2",NA,"mm",NA,NA,NA,"3","mm",NA,"7","7",NA,"mm",NA,"2.6","2.6",NA,"mm",NA,"2","2",NA,"mm",NA,NA,"53",NA,NA,"mm","white",NA,"present","stamens irregularly fasciculate beyond orifice",NA,"absent",""
"Calliandra_pilgeriana","arborescent shrubs",NA,"1.5",NA,"4",NA,"m","racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4.5","4.5","cm","5","2",NA,"4.5",NA,"mm","0.4",NA,"0.65",NA,"mm",NA,NA,NA,NA,"shallowly campanulate","1.8","1.8","2.2","2.2","mm",NA,"0.5","0.5",NA,"mm","10.5","10.5","11","11","mm","3","3","4","4","mm",NA,NA,NA,NA,NA,"12",NA,NA,"44",NA,"mm",NA,NA,"present",NA,NA,"absent",""
