"taxon","habit","root_system","height_min","height_low","height_high","height_max","height_unit","inflorescence_type","inflorescence_shape","inflorescence_length_min","inflorescence_length_low","inflorescence_length_high","inflorescence_length_max","inflorescence_length_unit","inflorescence_width_min","inflorescence_width_low","inflorescence_width_high","inflorescence_width_max","inflorescence_width_unit","inflorescence_peduncle_length_min","inflorescence_peduncle_length_low","inflorescence_peduncle_length_high","inflorescence_peduncle_length_max","inflorescence_peduncle_length_unit","flower_merosity","pedicel_length_min","pedicel_length_low","pedicel_length_high","pedicel_length_max","pedicel_length_unit","pedicel_width_min","pedicel_width_low","pedicel_width_high","pedicel_width_max","pedicel_width_unit","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","calyx_length_min","calyx_length_low","calyx_length_high","calyx_length_max","calyx_length_unit","calyx_lobe_length_min","calyx_lobe_length_low","calyx_lobe_length_high","calyx_lobe_length_max","calyx_lobe_length_unit.","corolla_length_min","corolla_length_low","corolla_length_high","corolla_length_max","corolla_length_unit","corolla_lobe_length_min","corolla_lobe_length_low","corolla_lobe_length_high","corolla_lobe_length_max","corolla_lobe_length_unit","corolla_lobe_width_min","corolla_lobe_width_low","corolla_lobe_width_high","corolla_lobe_width_max","corolla_lobe_width_unit","stamen_count","filament_length_min","filament_length_low","filament_length_high","filament_length_max","filament_length_unit","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence"
"Acacia_sclerosperma_sclerosperma",NA,NA,NA,NA,NA,NA,NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_sclerosperma_glaucescens",NA,NA,NA,NA,NA,NA,NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_tysonii","shrub or tree",NA,NA,NA,"3","6","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","25","30","mm","5-merous",NA,"10","25","30","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"truncate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_ligulata","shrub or tree",NA,NA,"2","3",NA,"m","racemes","globular",NA,"3","20",NA,"mm",NA,NA,NA,NA,NA,NA,"2","10","15","mm","5-merous",NA,"2","10","15","mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"truncate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_cupularis","shrub",NA,NA,"1","2.5",NA,"m","racemes","globular",NA,"1","7",NA,"mm",NA,NA,NA,NA,NA,NA,"2","6",NA,"mm","5-merous",NA,"2","6",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"truncate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_rostellifera","shrub or tree",NA,NA,NA,NA,"6","m","racemes","globular","1","1","3","3","cm","5","5","7","10","mm","3","3","8","8","mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_xanthina","shrub or tree",NA,NA,NA,"4",NA,"m","racemes","globular",NA,"2","7",NA,"cm","7","7","10","12","mm",NA,"5","12",NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_telmica","shrub",NA,"1",NA,"3",NA,"m","racemes","globular",NA,"10","25",NA,"mm",NA,NA,NA,NA,NA,NA,"6","10",NA,"mm","5-merous",NA,"6","10",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"truncate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_startii","shrub",NA,NA,"1","2",NA,"m","racemes","globular","1",NA,"4",NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"truncate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Acacia_didyma","shrub or tree",NA,NA,"1.5","4",NA,"m","racemes","globular",NA,"2","4",NA,"cm",NA,NA,NA,NA,NA,NA,"5","10",NA,"mm","5 merous",NA,"5","10",NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"truncate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
