"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Calliandra_eriophylla_eriophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_eriophylla_chamaedrys",NA,NA,"capitulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_humilis","subskrubs","woody root and superficial or shallowly subterranean rhizomatous caudex","capitula",NA,"4(-5)-merous",NA,NA,"homomorphic",NA,"campanulate",NA,"pink or white",NA,"present",NA,NA,"present","",NA,NA,NA,1.6,0.1,NA,NA,0.05,0.56,0.1,NA,1.3
"Calliandra_humilis_humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pink",NA,NA,NA,NA,NA,"",172500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_humilis_gentryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_humilis_reticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Calliandra_tumbeziana","shrubs",NA,"capitula","hemispherical",NA,NA,NA,NA,NA,"narrowly campanulate",NA,"white",NA,"present","present",NA,"no","",300,NA,NA,3.75,0.03,NA,0.23,0.04,0.8,0.1,NA,2.2
"Calliandra_taxifolia","diffuse shrubs and bushy, even subarborescent shrubs",NA,"capitula","umbelliform","19(32)-merous",NA,NA,"yes",NA,"shallow-campanulate","19","crimson",NA,"present",NA,NA,NA,"",105,NA,NA,1.3,0.07,0.055,0.1,0.04,0.725,0.165,NA,2.05
"Calliandra_parvifolia","arborescent shrubs or subshrubs",NA,"capitula",NA,NA,NA,NA,"TRUE",NA,"vase-shaped",NA,"white or pallid in lower half, carmine distally, the color deepening with age",NA,NA,NA,NA,"present","",250,NA,NA,NA,0.235,NA,0.22,NA,0.56,0.135,NA,3.55
"Calliandra_foliolosa","shrubs",NA,"capitula","umbelliform",NA,NA,NA,"yes",NA,NA,NA,"white or pale pink proximally, pink or crimson distally",NA,"present",NA,NA,"present","",NA,NA,NA,4,NA,NA,0.575,0.255,0.95,0.285,NA,4.9
"Calliandra_tweediei","Arborescent shrubs and treelets",NA,"capitula","umbelliform",NA,NA,NA,"yes",NA,"turbinate",NA,"red",NA,"present",NA,NA,NA,"",200,NA,NA,3,0.225,NA,NA,0.225,0.75,0.23,NA,4
"Calliandra_bella","arborescent shrubs",NA,"capituliform racemes",NA,NA,NA,NA,"yes",NA,"campanulate",NA,"white",NA,"present",NA,NA,"absent","",400,NA,NA,5,0.155,0.105,0.315,0.07,0.8,0.325,NA,4.65
"Calliandra_subspicata","shrubs",NA,"capitula","ellipsoid","5",NA,NA,NA,NA,NA,"24","white",NA,"present",NA,"present",NA,"",150,0.7,NA,1.65,0.13,0.075,0.32,0.09,0.84,0.31,NA,5.4
"Calliandra_dysantha","subshrubs","xylopodium","capitula",NA,"5",NA,"yes","yes",NA,"turbinate",NA,"blood-red",NA,"present",NA,NA,"absent","",80,2.75,NA,NA,0.3,NA,0.575,0.17,1.2,NA,NA,4.5
"Calliandra_dysantha_dysantha","virgate, simple or few-branched distally","rootstock","capitulum",NA,NA,NA,NA,NA,NA,NA,NA,"blood-red",NA,NA,NA,NA,NA,"",90,NA,NA,1.5,0.75,NA,0.625,NA,1.175,NA,NA,NA
"Calliandra_dysantha_macrocephala","herbaceous","frutescent caudex or knotty xylopodium",NA,NA,NA,NA,NA,NA,NA,NA,"48","pink proximally, white distally",NA,NA,NA,NA,NA,"",22.5,NA,NA,3.5,0.2,0.28,0.5,NA,1.35,NA,NA,NA
"Calliandra_dysantha_opulenta","herbaceous","oblique rootstock","capitulorum",NA,NA,NA,NA,NA,NA,NA,NA,"pink at base, white distally",NA,NA,NA,NA,NA,"",60,3.6,NA,3.6,0.41,NA,0.475,NA,1.3,NA,NA,NA
"Calliandra_dysantha_turbinata","Shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"white",NA,NA,NA,NA,NA,"",200,NA,NA,3.5,3.5,NA,0.725,NA,1.1,NA,NA,4.9
"Calliandra_gardneri","herbaceous subshrub","oblique woody rootstock","capitula",NA,NA,NA,NA,"almost",NA,"campanulate","46","carmine proximally, whitish distally",NA,"present",NA,NA,NA,"",25,NA,NA,9,0.175,0.17,0.4,0.18,1.5,0.6,NA,6.7
"Calliandra_macrocalyx","shrubs",NA,"capitate units",NA,"4 (5)-merous",NA,NA,NA,NA,NA,"185","white, rubescent",NA,"present",NA,NA,"absent","",300,NA,NA,NA,0.5,2,1.125,0.285,1.75,0.625,NA,7
"Calliandra_macrocalyx_macrocalyx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Calliandra_macrocalyx_acuta","subshrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9
"Calliandra_fernandesii","shrubs",NA,NA,NA,"5",NA,NA,NA,NA,"campanulate","28","red",NA,"present",NA,NA,NA,"",NA,NA,NA,2.75,0.065,0.07,0.2,0.06,0.7,0.3,NA,2.45
"Calliandra_ulei","shrubs",NA,"capitula",NA,"5",NA,NA,"yes",NA,NA,NA,"white",NA,"present","stamens irregularly fasciculate beyond orifice",NA,"absent","",200,0.25,NA,NA,1,NA,0.12,0.3,0.7,0.26,0.2,5.3
"Calliandra_pilgeriana","arborescent shrubs",NA,"racemes",NA,"5",NA,NA,NA,NA,"shallowly campanulate","12",NA,NA,"present",NA,NA,"absent","",275,NA,NA,3.75,0.325,0.0525,0.2,0.05,1.075,0.35,NA,4.4
"Calliandra_umbellifera","shrubs",NA,"umbellate units",NA,NA,NA,NA,"yes",NA,"campanulate or campanulate-patelliform",NA,"whitish",NA,"present",NA,NA,NA,"",200,NA,NA,1.95,1.35,0.0325,0.2,0.09,0.9,0.3,NA,5
"Calliandra_imperialis","shrubs",NA,"umbels","subglobose","5","yes","yes","yes",NA,"campanulate",NA,NA,NA,"present",NA,NA,NA,"",NA,NA,0.175,1.05,0.8,0.035,0.6,NA,0.65,0.28,NA,4.5
"Calliandra_concinna","shrubs",NA,"capitula","umbelliform",NA,NA,NA,"No",NA,"campanulate",NA,"red",NA,"present",NA,NA,NA,"",150,NA,NA,2.9,0.275,NA,0.205,0.065,0.575,0.21,NA,2.3
"Calliandra_squarrosa","shrubs",NA,"capitula",NA,NA,NA,NA,"yes",NA,"turbinate-campanulate",NA,"red",NA,"present",NA,NA,NA,"",115,NA,NA,1.4,0.04,0.06,0.29,0.0925,0.675,0.175,NA,4
"Calliandra_glaziovii","Shrubs",NA,"capituliform racemes","globose","5",NA,NA,"homomorphic",NA,"deeply campanulate",NA,"red-purple",NA,"present",NA,"present","absent","",NA,NA,NA,1.65,0.12,0.105,0.425,0.11,1.05,0.335,0.235,3.7
"Calliandra_depauperata","shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"deeply campanulate",NA,"crimson",NA,"present",NA,NA,NA,"",55,NA,NA,0.2,0.2,NA,0.19,0.0525,0.36,0.055,NA,1.025
