"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Samanea_tubulosa","trees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"narrowly infundibuliform",NA,"white or pallid proximally, deep rose, pink, or reddish purple distally",NA,"present",NA,NA,NA,"",550,NA,NA,NA,0.36,0.045,0.605,0.12,1.2,NA,NA,4
"Samanea_inopinata","trees",NA,"capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present","present",NA,NA,"",2125,0.275,NA,10.75,0.675,0.07,0.9,NA,1.625,0.45,NA,NA
"Blanchetiodendron_blanchetii","tree",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"turbinate-campanulate or somewhat urn-shaped",NA,"white",NA,"present","present",NA,NA,"",600,4,NA,1.05,0.375,0.035,0.25,0.0175,0.45,0.18,0.11,1.35
"Leucochloron_limae","Shrubs",NA,"capitula","globose",NA,NA,NA,NA,NA,"narrowly campanulate","36",NA,NA,"present","present",NA,NA,"",225,NA,0.975,2.25,2.25,NA,0.355,0.045,0.57,0.1,NA,NA
"Leucochloron_incuriale","trees",NA,"capitula","globose",NA,NA,NA,NA,NA,"narrowly campanulate",NA,"whitish",NA,"present",NA,NA,NA,"",850,1.05,NA,1.6,NA,NA,0.275,0.055,0.5,0.08,NA,0.525
"Leucochloron_minarum","trees",NA,"capitula","hemispherical","5- merous",NA,NA,"yes",NA,"campanulate",NA,NA,NA,"present",NA,"present",NA,"",NA,NA,NA,2.45,NA,NA,0.225,0.06,NA,NA,NA,1.075
"Leucochloron_foederale","trees",NA,"capitula","subglobose",NA,NA,NA,"present",NA,"cylindro-campanulate",NA,"greenish-white",NA,NA,"present",NA,NA,"",1000,NA,NA,NA,NA,NA,0.24,0.02,0.525,0.05,NA,0.775
"Chloroleucon_guantanamense","arborescent shrubs",NA,"subcapitate or compactly racemiform",NA,"5-merous",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,"present",NA,"",700,NA,NA,1.15,0.06,NA,0.28,0.035,0.67,0.145,0.07,1.5
"Chloroleucon_chacoense","bushy treefets",NA,"capitula",NA,"5-merous, randomly 6-merous",NA,NA,NA,NA,"campanulate",NA,NA,NA,NA,"filaments united into a tube",NA,NA,"",275,1.1,NA,1.9,1.9,NA,0.22,0.02,0.55,0.17,NA,1.25
"Chloroleucon_eurycyclum","Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroleucon_acacioides","tree",NA,"capitula","hemispherical","5-merous",NA,NA,"present",NA,"campanulate",NA,NA,NA,NA,"filaments united into a tube",NA,NA,"",1600,NA,NA,1.05,0.045,NA,0.165,0.0175,NA,NA,NA,1.275
"Chloroleucon_extortum","Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroleucon_dumosum","Trees",NA,"capitula or short ovoid racemes","ovoid","5-merous",NA,NA,"the terminal one or two differing in slightly longer androecial tube",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,NA,NA,1.85,0.11,NA,NA,NA,0.65,NA,NA,1.65
"Chloroleucon_tenuiflorum","trees",NA,"capitula",NA,"5-merous",NA,NA,"homomorphic",NA,"campanulate",NA,NA,NA,NA,NA,NA,NA,"",1150,NA,NA,1.9,0.02,NA,0.25,0.045,NA,0.1,NA,1.175
"Chloroleucon_tortum","shrubs and bushy trees",NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",575,NA,NA,1.2,0.07,NA,0.205,NA,0.6,NA,NA,1.55
"Chloroleucon_foliolosum","arborescent shrubs",NA,"capitula","hemispherical","5- merous",NA,NA,"present",NA,"campanulate",NA,NA,NA,NA,NA,"present",NA,"",550,NA,NA,1.35,NA,NA,0.13,0.015,0.42,0.135,0.07,1.225
"Chloroleucon_mangense","trees and arborescent shrubs",NA,"capitula","hemispherical","5-merous",NA,NA,"dimorphic",NA,"narrowly campanulate",NA,"white",NA,NA,NA,NA,NA,"",550,NA,NA,NA,NA,NA,0.225,0.035,0.585,0.115,NA,1.5
"Chloroleucon_mangense_mangense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroleucon_mangense_mathewsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroleucon_mangense_vincentis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroleucon_mangense_leucospermum","short-tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroleucon_mangense_lentiscifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloroleucon_mangense_tetrazyx","Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphinga_prehensilis","shrubs",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"subcylindric",NA,NA,NA,"present",NA,NA,NA,"",125,NA,NA,0.25,0.065,NA,0.265,0.21,2.3,0.7,NA,7.2
"Havardia_acatlensis","shrubs and trees",NA,"capitula",NA,NA,NA,NA,"present",NA,"cylindro-campanulate",NA,NA,NA,"present",NA,NA,NA,"",450,NA,NA,NA,NA,NA,1.1,0.375,1.65,0.35,NA,NA
"Havardia_platyloba","arborescent shrubs",NA,"capitula",NA,"basically 5-merous but some lobes either of calyx or corolla often fused, then appearing (2-)3-4-merous, or the corolla randomly 5- merous",NA,NA,NA,NA,"cylindric",NA,NA,NA,"present",NA,"present",NA,"",450,NA,NA,2.5,0.1,NA,0.8,0.265,1.525,0.425,0.22,5.35
"Gretheria_sonorae","trees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"deeply campanulate","49",NA,NA,"present",NA,NA,NA,"",450,NA,NA,1.4,NA,NA,0.29,0.045,0.5,0.125,0.065,1.25
"Gretheria_campylacantha","arborescent shrubs and trees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"deeply campanulate",NA,NA,NA,"present",NA,NA,NA,"",800,NA,NA,3,NA,NA,0.295,0.06,0.5,0.09,NA,1.025
"Havardia_pallens","trees or bushy treelets",NA,"capitula","hemispherical","5(randomly 6)-merous",NA,NA,NA,NA,"shallowly campanulate or hemispherical",NA,NA,NA,"present",NA,NA,NA,"",550,NA,NA,NA,NA,NA,0.19,0.035,0.465,0.16,0.085,1.25
"Havardia_albicans","trees",NA,"capitula",NA,"4-merous",NA,NA,NA,NA,"subhemispherical",NA,"white",NA,"present",NA,NA,NA,"",825,NA,NA,0.95,NA,NA,0.185,0.0325,NA,NA,NA,1.125
"Havardia_mexicana","trees",NA,NA,NA,"5-merous",NA,NA,"homomorphic",NA,"shallowly campanulate",NA,NA,NA,"present",NA,NA,NA,"",1000,NA,NA,1,0.205,0.0325,0.155,0.05,0.38,0.19,0.095,1
"Ebenopsis_caesalpinioides","trees or shrubs",NA,"fl-spikes",NA,"#NOME?",NA,NA,"homomorphic",NA,"campanulate, obscurely angulate","37",NA,NA,NA,NA,"present",NA,"",NA,NA,NA,NA,NA,NA,0.14,0.02,0.4,0.08,NA,0.1
"Ebenopsis_ebano","trees",NA,"spikes",NA,"5- merous",NA,NA,NA,NA,"hemispherical",NA,NA,NA,"present",NA,NA,NA,"",500,3.25,NA,3.25,NA,NA,0.115,0.03,0.395,0.125,0.095,NA
"Ebenopsis_confinis","shrubs and treelets",NA,"capitula or capituliform spikes",NA,"5- or 5-7-merous",NA,NA,NA,NA,"campanulate","32",NA,NA,"present",NA,NA,NA,"",190,0.6,NA,0.55,0.55,NA,0.14,0.0225,0.37,0.125,0.08,NA
"Ricoa_leptophylla","shrubs",NA,"capitula","subglobose","5-merous",NA,"present","present","present","campanulate",NA,NA,NA,"present",NA,NA,NA,"",95,0.2,NA,0.8,0.04,0.04,0.235,0.045,0.415,0.155,0.105,0.825
"Painteria_elachistophylla","shrubs",NA,"capitula or short spikes",NA,"5—7-merous",NA,NA,NA,NA,"campanulate or hemispherical","70","white",NA,"present",NA,NA,NA,"",75,NA,NA,0.15,0.15,NA,0.12,0.0225,NA,NA,NA,NA
"Painteria_revoluta","shrub",NA,"capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrosamanea_macrocalyx","shrubs and treelets",NA,"capitula",NA,"5-merous",NA,NA,"homomorphic",NA,"tumidly cylindro-campanulate","248","white",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0.15,NA,2.45,0.45,0.75,0.675,0.35,5.8
"Macrosamanea_spruceana","sarmentose shrubs",NA,"capitula","subglobose",NA,NA,NA,NA,NA,"tubular or a little expanded distally","70","white",NA,NA,NA,NA,NA,"",500,NA,0.4,NA,0.275,0.145,1.75,0.6,4.95,0.875,NA,2.5
"Macrosamanea_consanguinea","tree",NA,"capitula","subglobose","5-merous",NA,NA,NA,NA,"campanulate","214","white",NA,"present",NA,NA,NA,"",550,0.315,NA,2.75,0.075,0.15,1,NA,2.7,0.5,NA,5.15
"Macrosamanea_froesii","sarmentose shrubs",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"campanulate","112",NA,NA,"present",NA,NA,NA,"",NA,3,NA,0.85,NA,NA,0.95,0.25,2.6,NA,NA,4.25
"Macrosamanea_discolor","arborescent shrubs",NA,NA,NA,NA,NA,NA,NA,NA,"cylindric or tumid and cylindro-campanulate",NA,"white or white tinged with pink distally",NA,NA,NA,"present",NA,"",115,NA,NA,24.5,0.1,NA,1.125,0.425,2.45,0.6,NA,4.15
"Macrosamanea_discolor_discolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrosamanea_discolor_arenicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrosamanea_duckei","shrubs",NA,"capitula","globose",NA,NA,NA,NA,NA,"cylindric or cylindro-campanulate",NA,"white",NA,NA,"present",NA,NA,"",425,NA,NA,4,NA,NA,0.6,0.15,1.35,0.275,NA,3.25
"Macrosamanea_pubiramea","shrubs",NA,"capitula","ellipsoid or globose",NA,NA,NA,NA,"yes",NA,"80","white",NA,NA,NA,NA,NA,"",400,NA,0.475,3.5,0.15,NA,0.925,0.18,0.925,0.35,NA,0.6
"Macrosamanea_pubiramea_pubiramea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrosamanea_pubiramea_lindsaeifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrosamanea_amplissima","weak trees and bushropes",NA,"capituliform racemes",NA,NA,NA,NA,NA,"present","cylindric, distally dilated",NA,NA,NA,NA,NA,NA,NA,"",1000,1.65,0.55,3.5,0.575,NA,1.55,0.275,4.65,0.525,NA,7.5
"Macrosamanea_simabifolia","shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"cylindric or slightly dilated above middle",NA,NA,NA,NA,NA,NA,NA,"",400,NA,NA,3.75,NA,NA,0.575,0.105,1.75,0.3,NA,NA
"Macrosamanea_prancei","shrubs and treelets",NA,"","","","","","","","",NA,"",NA,"","","","","",1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrosamanea_kegelii","shrubs",NA,"","","","","","","","",NA,"",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_polycephala","trees",NA,"","","","","","","","",NA,"",NA,"","","","","",700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_edwallii","trees",NA,"capitula","hemispherical","5(-6)-merous",NA,NA,NA,NA,"narrowly campanulate",NA,NA,NA,"present",NA,NA,NA,"",1050,1.25,0.9,1.7,0.06,NA,0.21,0.02,0.5,0.155,0.105,1.6
"Pseudalbizzia_burkartiana","Microphyllidious srees",NA,"capitula",NA,"S(or in terminal f) 6-merous",NA,NA,NA,NA,"turbinate-campanulate",NA,NA,NA,"present",NA,"present",NA,"",900,NA,0.3,0.65,0.03,NA,0.115,0.0275,0.35,0.085,NA,0.85
"Pseudalbizzia_coripatensis","trees",NA,"capitula","hemispherical",NA,NA,NA,"yes",NA,"campanulate",NA,"white",NA,"present",NA,"present",NA,"",1000,0.7,NA,1.15,0.03,NA,0.125,0.02,0.31,0.115,NA,0.775
"Pseudalbizzia_tomentosa","trees",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"turbinate, broadly campanulate",NA,"white",NA,"present",NA,NA,NA,"",1400,NA,NA,1.9,0.055,0.045,0.22,0.04,0.45,0.145,NA,1.325
"Pseudalbizzia_sinaloensis","trees",NA,"capitula","subhemispherical","5-merous",NA,NA,"homomorphic",NA,"turbinate-campanulate","36",NA,NA,NA,"present",NA,NA,"",2000,0.15,NA,2.25,NA,NA,0.2,0.05,0.38,0.095,0.07,0.525
"Parasenegalia_vogeliana","treelets",NA,"capitula","globose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_barinensis","trees",NA,"pseudoraceme","globose","5(—6)-merous",NA,NA,"homomorphic",NA,"narrowly campanulate","28",NA,NA,"present",NA,"present",NA,"",1300,11,0.9,1.25,0.035,NA,NA,0.02,0.425,NA,NA,0.8
"Pseudalbizzia_adinocephala","trees",NA,"capitula","globose","5-merous",NA,NA,"TRUE",NA,"turbinate",NA,"white",NA,"present",NA,NA,NA,"",2000,NA,0.7,1.8,0.055,NA,0.15,0.02,0.465,0.135,0.075,0.95
"Pseudalbizzia_niopoides","trees",NA,"capitula","globose",NA,NA,NA,"yes",NA,NA,NA,NA,NA,"present",NA,"present",NA,"",550,NA,0.65,0.9,NA,NA,NA,NA,0.375,0.08,NA,0.775
"Pseudalbizzia_niopoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_niopoides_colombiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_buntingii","frees",NA,"capitula",NA,"5-merous",NA,NA,"yes",NA,"campanulate",NA,"cream-white",NA,"present",NA,NA,NA,"",300,NA,0.95,1.15,0.115,0.02,0.14,0.04,0.425,0.16,0.105,1
"Pseudosamanea_carbonaria","Trees",NA,"capitula",NA,"S-merous",NA,NA,"yes",NA,"narrowly campanulate",NA,"white",NA,"present","present",NA,NA,"",500,1.35,NA,3.2,0.275,NA,0.3,0.09,0.54,0.175,NA,1.475
"Pseudalbizzia_berteroana","tree",NA,"capitula","globose","5-merous",NA,NA,"yes",NA,"campanulate or turbinate-campanulate",NA,NA,NA,"present",NA,NA,NA,"",325,0.7,NA,0.7,0.1,NA,0.135,0.015,0.36,0.12,NA,0.675
"Pseudalbizzia_glabripetala","tree",NA,"capitula","hemispherical","S-merous",NA,NA,"yes",NA,"campanulate",NA,"white",NA,"present",NA,NA,NA,"",1000,0.675,NA,2.5,0.07,NA,0.085,0.015,0.3,0.135,0.085,1.125
"Pseudalbizzia_pistaciifolia","trees",NA,"capitula","hemispherical","5- merous or that of the terminal fl 6-merous",NA,NA,"dimorphic",NA,"turbinate-campanulate",NA,"white",NA,"present",NA,"present",NA,"",1100,NA,0.6,0.55,NA,NA,0.12,0.02,0.315,0.13,0.08,0.95
"Pseudalbizzia_subdimidiata","trees",NA,"capitula","globose","5-merous",NA,NA,"yes",NA,"campanulate or turbinate-campanulate, shallowly campanulate",NA,NA,NA,"present",NA,NA,NA,"",1250,14,0.675,0.6,0.06,NA,0.085,0.0175,0.275,0.12,0.0775,0.75
"Pseudalbizzia_subdimidiata","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_subdimidiata_minor","Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_multiflora","trees",NA,"capitula",NA,"6-merous",NA,NA,NA,NA,"campanulate",NA,NA,NA,"present",NA,NA,NA,"",1000,11.5,0.7,0.8,NA,NA,0.14,0.0175,0.35,0.105,0.085,0.775
"Pseudalbizzia_multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_multiflora_sagasteguii","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudalbizzia_decandra","Trees",NA,NA,NA,"5- or 6-merous",NA,NA,"TRUE",NA,"campanulate","10",NA,NA,"present",NA,NA,NA,"",2500,NA,NA,1.5,0.065,NA,0.11,0.015,0.37,0.165,0.09,1.4
"Pseudalbizzia_inundata","tree",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"campanulate or turbinate-campanulate",NA,NA,NA,"present",NA,NA,NA,"",200,8.5,NA,0.55,0.55,NA,0.0925,0.0225,0.295,0.13,NA,0.65
"Albizia_chinensis","trees",NA,"","","","","","","","",NA,"",NA,"","","","","",2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_lebbeck","deciduous trees",NA,"capitula","globose","5(-6)-merous",NA,NA,"yes",NA,"narrowly campanulate",NA,NA,NA,"present",NA,NA,NA,"",900,7.5,NA,3,0.35,NA,0.475,0.07,1,NA,NA,3
"Albizia_julibrissin","trees",NA,"pseudoraceme of capitula",NA,NA,"bisexual","staminate","dimorphic",NA,"campanulate or deeply campannlate",NA,"pink or pinkish orange",NA,"the stemonozone 1 mm or less","the filament-tube far-exserted",NA,NA,"",900,6,NA,NA,0.08,NA,0.32,0.05,0.9,0.195,0.105,3.1
"Albizia_procera","tree",NA,"capitula","subglobose","5-merous",NA,NA,NA,NA,"deeply campanulate","30","whitish",NA,"present",NA,"present",NA,"",300,NA,NA,1.3,1.3,NA,0.295,0.04,0.61,0.17,NA,1
"Robrichia_oldemanii","trees",NA,"","","","","","","","",NA,"",NA,"","","","","",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedrelinga_cateniformis","trees",NA,"capitula","hemispherical","5-merous",NA,NA,"homomorphic",NA,"short-campanulate","24","whitish",NA,"present",NA,NA,"absent","",4500,12.5,NA,1.05,NA,NA,0.12,0.0225,0.43,0.1,0.09,1
"Paraserianthes_lophantha","trees",NA,"racemes",NA,"5-merous",NA,NA,"homomorphic",NA,"shallowly campanulate","96","greenishor lemon-yellow",NA,"obscure",NA,NA,NA,"",800,5.75,NA,1.5,NA,NA,0.26,0.08,0.61,0.22,0.145,1.475
"Lysiloma_latisiliquum","trees",NA,"","","","","","","","",NA,"",NA,"","","","","",900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysiloma_sabicu","arborescent shrubs",NA,"capitula","hemispherical",NA,NA,NA,"present",NA,"narrowly campanulate, bluntly angulate",NA,NA,NA,NA,NA,NA,NA,"",650,NA,NA,4,0.09,NA,0.305,0.055,0.44,NA,NA,1.35
"Pithecellobium_diversifolium","arborescent shrubs",NA,"capituliform fl-spikes",NA,"5-merous",NA,NA,NA,NA,"campanulate","29",NA,NA,"present",NA,"present",NA,"",500,NA,NA,1.75,NA,NA,0.2,0.0325,0.8,0.19,0.1,2.35
"Pithecellobium_excelsum","arborescent shrubs and severaltrunked treelets",NA,"capitula",NA,"5- merous",NA,NA,"yes",NA,"campanulate",NA,"white",NA,"present",NA,NA,NA,"",500,NA,NA,4.25,NA,NA,0.185,0.02,0.865,0.2,0.11,NA
"Pithecellobium_circinale","arborescent shrubs",NA,"capitula",NA,NA,NA,NA,"homomorphic",NA,"campanulate",NA,NA,NA,"present",NA,NA,NA,"",250,0.225,NA,2.25,2.25,NA,0.17,0.0225,0.56,0.13,0.08,1.15
"Pithecellobium_cynodonticum","shrubs",NA,"capitula","globose or clavate",NA,NA,NA,NA,NA,"campanulate",NA,NA,NA,NA,NA,NA,NA,"",175,0.2,NA,0.65,NA,NA,0.15,NA,0.45,NA,NA,NA
"Pithecellobium_histrix","shrubs",NA,"capitula","spherical or clavate",NA,NA,NA,NA,NA,"campanulate",NA,"pink",NA,"present",NA,NA,NA,"",162.5,0.135,NA,1.95,NA,NA,0.16,0.03,NA,0.155,0.105,NA
"Pithecellobium_keyense","shrubs and trees",NA,"capitula","globose, clavate or linearclavate","5-merous",NA,NA,"homomorphic",NA,"campanulate",NA,NA,NA,"present",NA,NA,NA,"",375,0.425,NA,5.5,NA,NA,0.21,0.03,NA,0.16,0.115,1.3
"Pithecellobium_unguiscati","arborescent shrubs and trees",NA,"pseudoracemes of capitula or short spikes",NA,"5(-6)-merous",NA,NA,"present",NA,NA,NA,"white",NA,"present",NA,NA,NA,"",400,7,NA,2,NA,NA,NA,NA,0.475,0.125,NA,1.4
"Pithecellobium_roseum","shrubs",NA,"capitula",NA,"5-merous",NA,NA,"homomorphic",NA,"campanulate",NA,"red",NA,"present",NA,NA,NA,"",525,13,NA,2.35,NA,NA,0.26,0.0325,0.8,0.18,NA,2.1
"drop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red or red-purple",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0.25,NA,0.6,NA,NA,NA
"Pithecellobium_roseum",NA,NA,"pseudoracemes",NA,NA,NA,NA,NA,NA,NA,NA,"pallid",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pithecellobium_dulce","tree",NA,"capitula","subspherical","5-merous","present","present",NA,NA,"campanulate or turbinate-campanulate","26",NA,NA,"present",NA,NA,NA,"",1000,NA,NA,1.2,1.2,0.05,0.165,NA,NA,0.115,0.09,NA
"Pithecellobium_peckii","trees",NA,"spikes",NA,"5-merous",NA,NA,"yes",NA,"shallowly campanulate or subhemispherical","32",NA,NA,"present",NA,NA,NA,"",1000,2.5,NA,NA,NA,NA,0.12,0.02,NA,NA,NA,1.85
"Pithecellobium_bipinnatum","trees",NA,"spikes",NA,NA,NA,NA,NA,NA,"cylindric",NA,NA,NA,NA,NA,NA,"present","",800,3.5,NA,NA,NA,NA,0.12,NA,2.75,NA,NA,NA
"Pithecellobium_lanceolatum","shrubs and trees",NA,"spikes",NA,"5-merous or randomly 3-6-merous",NA,"smaller ones functionally staminate",NA,NA,"campanulate",NA,"white",NA,"present",NA,NA,NA,"",875,9.5,NA,9.5,NA,NA,0.24,0.03,0.525,0.14,NA,1.45
"Pithecellobium_johansenii","trees and scrambling shrubs",NA,"spikes",NA,"4- or 5-merous",NA,NA,NA,NA,"campanulate-subcylindric","38",NA,NA,"present",NA,NA,NA,"",900,1.75,NA,1.45,NA,NA,0.4,NA,1.025,0.255,NA,4.05
"Pithecellobium_winzerlingii","arborescent shrubs",NA,"spiciform units of inflorescence",NA,"4—S-merous",NA,NA,NA,NA,"short-campanulate or hemispherical",NA,NA,NA,"obscure",NA,NA,NA,"",450,1.95,NA,2.5,NA,NA,0.145,0.02,0.7,0.145,NA,NA
"Pithecellobium_hymenaeifolium","shrubs and trees",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,"campanulate","38","white",NA,"present",NA,NA,"present","",350,5,NA,4,NA,NA,0.215,0.035,0.95,0.26,0.18,3.6
"Pithecellobium_furcatum","trees and arborescent shrubs",NA,"spikes",NA,"S-merous",NA,NA,NA,NA,"cylindric or cylindro-campanulate",NA,NA,NA,"present",NA,NA,NA,"",750,0.8,NA,1.7,1.7,NA,0.6,0.105,1,0.21,0.16,3.85
"Pithecellobium_macrandrium",NA,NA,"spikes",NA,NA,NA,NA,"present",NA,"hemispheric or shallowly campanulate","76","white",NA,"present",NA,NA,NA,"",NA,6.25,NA,8,NA,NA,0.255,0.045,1.1,0.33,0.255,4.15
"Cojoba_catenata","shrubs and understory trees",NA,"capitulum","globose or ellipsoid","4-5merous",NA,NA,NA,NA,"deeply narrowly campanulate",NA,NA,NA,"present",NA,NA,NA,"",1500,NA,NA,9.7,NA,NA,NA,0.03,1.475,0.1625,NA,NA
"Cojoba_arborea","trees",NA,"capitula","globose","5-merous",NA,NA,NA,NA,"deeply campanulate or subcylindric","20",NA,NA,"present",NA,NA,NA,"",NA,NA,NA,5.5,NA,NA,0.27,0.0175,NA,0.095,NA,1.275
"Cojoba_arborea_arborea","Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cojoba_arborea_arborea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cojoba_arborea_angustifolia","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,"",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cojoba_escuintlensis","trees",NA,"capitula","globose or subclavate","4-5-merous",NA,NA,"homomorphic",NA,"cylindric-campanulate",NA,NA,NA,"present",NA,NA,NA,"",1000,NA,0.2875,2.5,0.05,NA,0.1125,0.02,0.7,0.1125,NA,1.15
"Cojoba_beckii","trees",NA,"capitula","globose","5-merous",NA,NA,NA,NA,"campanulate",NA,NA,NA,"present",NA,NA,NA,"",2000,NA,NA,NA,NA,NA,0.2,0.015,0.845,0.065,NA,NA
"Cojoba_chazutensis","trees",NA,"capitula","spherical","5-merous",NA,NA,NA,NA,"campanulate","48",NA,NA,"present",NA,NA,NA,"",2250,NA,0.225,4.25,NA,NA,0.19,0.015,1,0.12,0.1,NA
