"taxon","clade","habit","inflorescence_type","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","sex_type","nectary","dimorphic_flower"
"Samanea_saman","Samanea clade","tree","capitula","5&9",NA,NA,"present",NA,"slenderly vase-shaped",50.5,"white",NA,"present",NA,NA,NA,NA,2750,NA,NA,6.25,0.225,0.59,0.115,1.125,0.255,0.135,3.25,NA,0,1
"Senegalia_burkei","Senegalia grade","tree","spike",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,1500,4.5,NA,2,NA,0.21,NA,0.25,NA,NA,0.525,NA,0,0
"Senegalia_caffra","Senegalia grade","shrub or tree","spike",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,600,7,NA,2,NA,0.25,NA,0.3,NA,NA,0.65,NA,0,0
"Senegalia_catechu","Senegalia grade","tree","spike","5",NA,NA,NA,NA,"cupular",NA,NA,NA,NA,NA,NA,NA,NA,1050,3,1.1,1.5,NA,NA,NA,0.2,NA,NA,NA,NA,0,0
"Senegalia_caesia","Senegalia grade","lianas or straggling shrubs","capitula","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,NA,NA,NA,0.25,NA,NA,NA,NA,0,0
"Strombocarpa_tamarugo","Neltuma clade","tree","spike",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,1800,5,NA,NA,NA,0.15,NA,0.45,NA,NA,NA,NA,0,0
"Stryphnodendron_guianense","Stryphnodendron clade","treelets, trees","spike","5",NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,700,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Tetrapleura_tetraptera","Adenanthera clade","tree","raceme",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,600,9,NA,2.75,0.2,0.075,NA,0.275,NA,NA,0.35,NA,0,0
"Tetrapterocarpon_septentrionale","","tree",NA,"4",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1350,15,NA,NA,NA,0.1,NA,0.175,NA,NA,0.3,NA,0,0
"Vachellia_collinsii","Parkia clade","tree","spike","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",1000,2.5,0.5,1.3,NA,0.12,NA,0.13,NA,NA,0.2,NA,0,0
"Vachellia_farnesiana","Parkia clade","shrub to small tree","capitula","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",800,0.8,NA,2.55,NA,0.145,NA,0.235,NA,NA,0.45,NA,0,0
"Vachellia_gerrardi","Parkia clade","shrub or tree","spike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Vachellia_pennatula","Parkia clade","tree","capitula","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,1.1,1.1,2.3,NA,0.115,NA,0.23,NA,NA,0.375,NA,0,0
"Viguieranthus_glaber","Zapoteca clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent","present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,NA,NA,1,NA,0,0
"Viguieranthus_glandulosus","Zapoteca clade","tree","capitula","5","yes",NA,NA,NA,"obconical",NA,NA,"absent",NA,NA,NA,NA,NA,2500,NA,NA,2.65,0.15,0.375,NA,0.525,NA,NA,1.2,0,0,0
"Wallaceodendron_celebicum","Archidendron clade","tree","raceme","5","yes",NA,NA,NA,"cup shaped",NA,"white",NA,NA,NA,NA,NA,NA,4500,16.5,NA,10.5,0.9,0.4,NA,1.425,0.45,NA,3.75,0,0,0
"Xerocladia_viridiramis","Neltuma clade","shrub","capitula","5",NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,100,0.7,NA,0.8,NA,0.15,NA,0.25,NA,NA,NA,NA,0,0
"Xylia_hoffmannii","Adenanthera clade","almost a tree",NA,"5",NA,NA,NA,NA,NA,10,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Xylia_xylocarpa","Adenanthera clade","tree","capitula","5","yes",NA,NA,NA,"campanulate",10,NA,"present",NA,NA,NA,NA,NA,2400,1.25,NA,6.5,NA,0.25,NA,0.35,NA,NA,NA,0,0,0
"Zapoteca_ravenii","Zapoteca clade","shrubs","capitula","5",NA,NA,NA,NA,NA,NA,"white","absent",NA,NA,NA,NA,NA,400,NA,NA,3.8,NA,0.5,NA,0.4,0.1,NA,1.2,NA,0,0
"Zygia_claviflora","Inga clade","trees","capitula","4",NA,NA,NA,NA,"campanulate",34,"pink","absent","present",NA,"present","absent","present",650,0.2,NA,0.25,NA,0.15,0.015,0.8,0.11,NA,2.7,NA,1,0
"Zygia_lathetica","Inga clade","trees","capitula",NA,NA,NA,NA,NA,"campanulate",82,"pink","absent","present","present",NA,"absent","present",1050,2.5,NA,1.15,NA,0.215,0.0175,1.65,0.235,NA,3.8,NA,1,0
"Zygia_longifolia","Inga clade","trees","spike",NA,NA,NA,NA,NA,"campanulate",25,"pink&white",NA,NA,"present",NA,NA,"present",1300,1.55,NA,NA,NA,0.155,0.0325,0.6,0.095,NA,1.775,NA,1,0
"Zygia_paucijugata","Inga clade","arborescent shrubs","capitula",NA,NA,NA,NA,NA,"campanulate",38,NA,NA,"present","present",NA,"present",NA,700,0.15,NA,1,NA,0.19,0.065,0.725,0.1,NA,1.7,NA,1,0
"Zygia_peckii","Inga clade","trees","capitula","4",NA,NA,NA,NA,"campanulate",47.5,NA,NA,"present","present",NA,"present","present",650,NA,NA,0.65,NA,0.26,0.04,0.725,0.14,NA,1.65,NA,1,0
"Zygia_racemosa","Inga clade","trees","capitula","5",NA,NA,NA,NA,"campanulate or hemisphericat",21.5,"white","absent","present","present",NA,NA,NA,1900,0.15,NA,0.7,NA,0.09,0.01,0.375,0.085,NA,1.325,NA,0,0
"Kanaloa_kahoolawensis","Dichrostachys clade","shrubs","capitula","5",NA,"present",NA,NA,NA,10,NA,"absent",NA,NA,NA,NA,NA,87.5,0.7,NA,1.9,NA,0.115,0.015,0.165,NA,NA,0.25,1,0,0
"Dichrostachys_cinerea","Dichrostachys clade","shrub or small tree","spike","5",NA,"present",NA,"present",NA,10,"pink&yellow","present",NA,NA,NA,NA,NA,500,7.5,NA,NA,NA,0.075,0.01,0.225,NA,NA,0.425,1,0,0
"Dichrostachys_spicata","Dichrostachys clade","shrub or small tree","spike","5",NA,NA,NA,"present",NA,10,NA,"present",NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Microlobius_foetidus","Stryphnodendron clade","trees or shrubs","spike","5",NA,NA,NA,NA,"campanulate",10,NA,"present",NA,NA,NA,NA,NA,650,4.5,NA,NA,NA,0.09,NA,0.35,NA,NA,NA,NA,0,0
"Heliodendron_basalticum","Archidendron clade","tree or shrubs","capitula",NA,NA,NA,"absent",NA,"tubular to subcampanulate",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,0.225,NA,0.475,NA,NA,0.7,NA,0,0
