"taxon","clade","habit","inflorescence_type","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","sex_type","nectary","dimorphic_flower"
"Faidherbia_albida","Zapoteca clade","tree","spike","5",NA,NA,NA,NA,NA,45,NA,"absent",NA,NA,NA,NA,NA,3000,9,NA,3,0.2,0.135,NA,0.325,NA,NA,0.5,NA,0,0
"Falcataria_falcata","Archidendron clade","tree","spike","5",NA,NA,NA,NA,NA,116,NA,NA,"present","present",NA,"present",NA,2500,2.75,NA,NA,NA,0.255,2.75,0.66,0.32,0.175,1.6,NA,1,0
"Gretheria_campylacantha","Pithecellobium clade","arborescent shrubs and trees","capitula","5",NA,NA,"absent",NA,"deeply campanulate",45,NA,NA,"present",NA,"present",NA,NA,800,NA,NA,3,NA,0.295,0.06,0.5,0.09,NA,1.025,NA,0,0
"Havardia_albicans","Pithecellobium clade","trees","capitula","4",NA,NA,"absent",NA,"subhemispherical",NA,"white",NA,"present","present",NA,NA,"absent",825,NA,NA,0.95,NA,0.185,0.0325,0.34,0.16,0.11,1.125,NA,0,0
"Havardia_pallens","Pithecellobium clade","trees or bushy treelets","capitula","5",NA,NA,"absent",NA,"shallowly campanulate or hemispherical",41,NA,NA,"present","present",NA,NA,NA,550,NA,NA,1.55,NA,0.135,0.035,0.465,0.16,0.085,1.25,NA,0,0
"Hesperalbizia_occidentalis","Cojoba clade","trees","capitula","5",NA,NA,"absent",NA,"campanulate",64,"white",NA,"present","present",NA,NA,NA,2500,NA,NA,4.75,NA,0.275,0.055,0.925,0.19,NA,2.2,NA,0,0
"Hydrochorea_leucocalyx","Jupunba clade","trees","capitula","5",NA,NA,"present",NA,NA,32,NA,NA,"present","present",NA,NA,NA,2250,NA,NA,5,0.425,0.415,0.12,0.815,0.275,0.215,3.05,NA,0,1
"Inga_adenophylla","Inga clade","tree","spike","5",NA,NA,NA,NA,NA,47.5,"white",NA,NA,"present",NA,NA,NA,1500,NA,NA,6,0.025,NA,0.2,1.15,0.35,0.35,2.5,NA,0,0
"Inga_alba","Inga clade","tree","spike","5",NA,NA,NA,NA,"cup-shaped to tubular",35,"white",NA,NA,"present",NA,NA,NA,4000,0.65,NA,1.2,NA,0.125,0.025,0.25,0.075,NA,0.525,NA,0,0
"Inga_arenicola","Inga clade","treelet","capitula","5",NA,NA,NA,NA,"funnel-shaped",37.5,"white",NA,NA,"present","present",NA,NA,350,0.2,NA,6,0.0625,0.15,0.25,0.75,0.125,NA,1,NA,0,0
"Inga_barbata","Inga clade","tree","spike","5",NA,NA,NA,NA,NA,37.5,"white",NA,NA,NA,"present",NA,NA,1200,1.4,NA,3.75,NA,0.55,0.1,1.05,0.25,NA,2,NA,0,0
"Inga_blanchetiana","Inga clade","tree","spike&raceme","5",NA,NA,NA,NA,NA,75,"white",NA,NA,"present","present",NA,NA,2000,3,NA,1.75,0.2,1.05,0.2,3.5,0.3,NA,2.65,NA,0,0
"Inga_bullatorugosa","Inga clade","small tree","umbell",NA,NA,NA,NA,NA,"narrowly funnel-shaped",50,NA,NA,NA,"present","present",NA,NA,NA,0.2,NA,0.35,1.25,0.225,0.05,0.75,0.125,NA,0.95,NA,0,0
"Inga_cordatoalata","Inga clade","tree","raceme",NA,NA,NA,NA,NA,"cup-shaped",45,"white",NA,NA,NA,"present",NA,NA,3000,4.25,NA,1.55,0.075,0.075,0.025,0.35,0.1,NA,0.6,NA,0,0
"Inga_filiformis","Inga clade","tree","capitula",NA,NA,NA,NA,NA,NA,50,"white",NA,NA,"present","present",NA,NA,1500,0.25,NA,9.75,0.025,0.25,0.3,0.75,0.2,NA,1.4,NA,0,0
"Inga_golfodulcensis","Inga clade","tree","spike",NA,NA,NA,NA,NA,"funnel-shaped",45,"white",NA,NA,NA,"present",NA,NA,2500,0.45,NA,1.35,0.05,0.225,0.025,0.65,0.15,NA,1,NA,0,0
"Inga_herrerae","Inga clade","tree","spike",NA,NA,NA,NA,NA,NA,80,NA,NA,NA,"present",NA,NA,NA,1500,2.5,NA,1.75,NA,0.55,0.15,0.125,0.35,NA,1.75,NA,0,0
"Inga_lallensis","Inga clade","tree","umbell",NA,NA,NA,NA,NA,"cup-shaped",45,NA,NA,NA,NA,"present",NA,NA,800,0.4,NA,5.5,0.275,0.125,0.0375,0.675,0.125,NA,0.85,NA,0,0
"Inga_maritima","Inga clade","shrub or small tree","spike","5",NA,NA,NA,NA,NA,37.5,"white",NA,NA,NA,"present",NA,NA,700,2.5,NA,2.25,NA,0.2,0.05,0.75,0.2,NA,1.2,NA,0,0
"Inga_microcalyx","Inga clade","tree","spike",NA,NA,NA,"absent",NA,"cup-shaped",30,"white",NA,NA,NA,"present",NA,NA,800,3,NA,8.5,0.025,0.1,0.025,0.425,0.175,NA,1.25,NA,0,0
"Inga_mortoniana","Inga clade","tree","capitula",NA,NA,NA,NA,NA,"tubular or narrowly funnel-shaped, often slightly curved",45,"white",NA,NA,"present",NA,NA,NA,1500,0.25,NA,3.5,NA,0.45,0.06,0.95,0.15,NA,0.85,NA,0,0
"Inga_nobilis","Inga clade","tree","spike&capitula&umbell",NA,NA,NA,NA,NA,"funnel-shaped",47.5,"white",NA,NA,"present","present",NA,NA,1800,1.1,NA,4.25,0.85,0.5,0.1,0.85,0.175,NA,1.6,NA,0,0
"Inga_oerstediana","Inga clade","tree","spike","5",NA,NA,NA,NA,NA,85,"white",NA,NA,NA,"present",NA,NA,3000,3.25,NA,4.5,NA,0.25,0.075,1,0.25,NA,1.75,NA,0,0
"Inga_ruiziana","Inga clade","tree","spike",NA,NA,NA,NA,NA,NA,65,"white",NA,NA,NA,"present",NA,NA,3000,1,NA,2.65,0.025,0.35,0.075,0.65,0.175,NA,0.95,NA,0,0
"Inga_samanensis","Inga clade","tree","spike",NA,NA,NA,NA,NA,"tubular",36.5,"white",NA,NA,"present","present",NA,NA,2000,1.7,NA,1.05,NA,0.275,0.025,0.725,0.125,NA,1,NA,0,0
"Inga_sertulifera","Inga clade",NA,"umbell",NA,NA,NA,NA,NA,"tubular",37.5,"white",NA,NA,"present","present",NA,NA,1750,0.325,NA,5,1.35,0.235,0.055,0.75,0.225,NA,1.4,NA,0,0
"Inga_sierrae","Inga clade","tree","spike","5",NA,NA,NA,NA,NA,80,"white",NA,NA,NA,"present",NA,NA,2000,2.25,NA,6,NA,1.05,0.2,1.8,0.4,NA,2.25,NA,0,0
"Inga_stenoptera","Inga clade","tree","spike","5",NA,NA,NA,NA,"tubular to narrowly funnel-shaped",52.5,"yellow",NA,NA,"present","present",NA,NA,1750,1.25,NA,3.75,NA,0.4,0.125,0.9,0.225,NA,1.5,NA,0,0
"Inga_tenuicalyx","Inga clade","tree","spike","5",NA,NA,NA,NA,"funnel-shaped",57.5,"white",NA,NA,NA,"present",NA,NA,500,2.75,NA,4.25,NA,0.8,0.35,1.15,0.15,NA,2,NA,0,0
"Inga_tonduzii","Inga clade","tree","spike","5",NA,NA,NA,NA,NA,105,"white",NA,NA,"present","present",NA,NA,2500,2.5,NA,2.15,NA,0.95,0.3,0.21,0.45,NA,3,NA,0,0
"Inga_umbellifera","Inga clade","tree","umbell",NA,NA,NA,NA,NA,"tubular",32.5,"white",NA,NA,NA,"present",NA,NA,2000,0.275,NA,3.1,1.35,0.2875,0.0625,0.7,0.175,NA,1.75,NA,0,0
"Inga_umbratica","Inga clade","tree","umbell","5",NA,NA,NA,NA,"tubular",37.5,"white",NA,NA,NA,"present",NA,NA,2000,0.175,NA,0.75,0.2875,0.1,0.0275,0.45,0.1125,NA,0.9,NA,0,0
"Jupunba_abbottii","Jupunba clade","trees","capitula","5",NA,NA,NA,NA,NA,31.5,NA,NA,"present",NA,NA,NA,NA,800,NA,NA,2.75,NA,0.26,0.025,0.65,0.215,0.115,1.85,NA,0,0
"Jupunba_adenophora","Jupunba clade","trees","raceme","5",NA,NA,"present",NA,NA,16,NA,NA,"present","present",NA,NA,NA,2100,NA,NA,4.25,0.525,0.23,0.07,0.46,0.17,NA,1.45,NA,0,1
"Jupunba_cochleata","Jupunba clade","tree","capitula","5",NA,NA,"present",NA,"turbinate-campanulate, obtusely 5-angulate",17,NA,NA,"present",NA,"present",NA,NA,1150,NA,NA,3,0.19,0.21,0.0375,0.495,0.13,NA,1.85,NA,0,1
"Jupunba_ganymedea","Jupunba clade","trees","capitula","5",NA,"present","present",NA,NA,10,NA,NA,"absent","present",NA,NA,NA,2000,1,NA,2.75,0.065,0.23,0.04,0.41,0.17,0.07,1.55,1,0,1
"Jupunba_longipedunculata","Jupunba clade","shrubs and trees","capitula","5",NA,NA,NA,NA,"narrowly campanulate",33,"white",NA,"present",NA,NA,NA,NA,1100,NA,NA,8.75,NA,0.615,0.12,0.875,0.2,NA,NA,NA,0,0
"Jupunba_oppositifolia","Jupunba clade","trees","capitula","5",NA,NA,"absent",NA,NA,47.5,NA,NA,"present","present",NA,NA,NA,750,NA,NA,6,0.15,0.38,0.055,0.66,0.265,0.135,1.35,NA,0,0
"Jupunba_turbinata","Jupunba clade","trees","capitula","5",NA,NA,"present",NA,"turbinate",22,NA,NA,"present","present",NA,NA,NA,650,1.5,NA,12,0.15,0.4,0.095,0.65,NA,NA,2.85,NA,0,1
"Lemurodendron_capuronii","Dichrostachys clade","tree","spike",NA,NA,NA,NA,"present",NA,10,NA,"present",NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,0.1375,NA,0.375,NA,NA,0.575,NA,0,0
"Leucaena_cuspidata","Dichrostachys clade","tree","capitula","5",NA,NA,NA,NA,NA,10,"white",NA,NA,NA,NA,NA,NA,300,1.45,1.45,3.05,NA,0.275,NA,0.4,NA,NA,0.65,NA,0,0
"Leucaena_esculenta","Dichrostachys clade","tree","capitula","5",NA,NA,NA,NA,NA,10,"white",NA,NA,NA,NA,NA,NA,1250,2.75,2.65,2.75,NA,0.33,NA,0.485,NA,NA,1.29,NA,0,0
"Leucaena_pulverulenta","Dichrostachys clade","tree","capitula","5",NA,NA,NA,NA,NA,10,"white",NA,NA,NA,NA,NA,NA,1150,1.75,1.75,3,NA,0.14,NA,0.395,NA,NA,0.59,NA,0,0
"Leucaena_retusa","Dichrostachys clade","tree","capitula","5",NA,NA,NA,NA,NA,10,"yellow",NA,"absent",NA,NA,NA,NA,350,2.25,2.25,5.75,NA,0.435,NA,0.6,NA,NA,1.275,NA,0,0
"Leucaena_trichodes","Dichrostachys clade","tree, shrub","capitula","5",NA,NA,NA,NA,NA,10,"white",NA,NA,NA,NA,NA,NA,650,1,1,1.4,NA,0.195,NA,0.28,NA,NA,0.515,NA,0,0
"Lysiloma_watsonii","Cojoba clade","tree","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Macrosamanea_simabifolia","","shrubs","capitula",NA,NA,NA,NA,NA,"cylindric or slightly dilated above middle",40,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,3.75,NA,0.575,0.105,1.75,0.3,NA,NA,NA,0,0
"Mariosousa_centralis","Senegalia grade","tree","spike","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,10,NA,0.7,NA,0.1,NA,0.215,NA,NA,0.55,NA,0,0
"Mariosousa_heterophylla","Senegalia grade","tree","spike","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,6,NA,1.5,NA,0.175,NA,0.3,NA,NA,0.7,NA,0,0
"Marlimorimia_psilostachya","Stryphnodendron clade","tree","spike","5",NA,NA,NA,NA,NA,10,NA,"present",NA,NA,NA,NA,NA,4500,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,0,0
"Mezcala_balsensis","Dichrostachys clade","tree or shrub","capitula","5",NA,"present",NA,"present",NA,10,"white","present",NA,NA,NA,NA,NA,225,NA,NA,2,NA,0.1575,0.04,0.275,NA,NA,0.45,1,0,0
"Mimosa_adenantheroides","Mimosa clade","arborescent shrubs","capitula","5","yes",NA,NA,NA,"campanulate",10,"white","absent","absent","absent",NA,NA,NA,250,1.4,0.7,2.25,0.02,0.165,0.035,0.315,NA,NA,0.6,0,0,0
"Mimosa_affinis","Mimosa clade","herbs","capitula",NA,"yes","present","present",NA,NA,NA,NA,"absent",NA,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,0.02,NA,0.2,NA,NA,0.3,1,0,1
"Mimosa_albida","Mimosa clade","herbs, bushy shrubs, weakly woody sarmentose vines and treelets","capitula","4",NA,NA,NA,NA,"minute",4,"pink","absent",NA,NA,NA,NA,NA,300,0.55,NA,2.5,NA,0.0275,NA,0.23,0.07,0.05,0.575,NA,0,0
"Mimosa_antioquensis","Mimosa clade","shrubs","capitula","5","yes",NA,NA,NA,"shallowly or narrowly campanulate",5,NA,"absent",NA,NA,NA,NA,NA,500,0.575,NA,1.2,NA,0.07,NA,0.23,0.09,0.03,0.175,0,0,0
"Mimosa_arenosa","Mimosa clade","subshrubs, shrubs and trees","spike","4",NA,"present",NA,NA,"shallowly or shortly campanulate",8,"white","absent",NA,NA,NA,NA,NA,400,5.25,NA,NA,NA,0.055,0.015,0.225,0.14,0.08,0.425,1,0,0
"Mimosa_bahamensis","Mimosa clade","shrubs and treelets","capitula","4","yes",NA,NA,NA,"campanulate",8,"pink","absent",NA,NA,NA,NA,NA,325,NA,0.6,1.1,NA,0.115,0.02,0.28,0.11,0.08,0.375,0,0,0
"Mimosa_bimucronata","Mimosa clade","trees and bushy treelets","capitula","4",NA,NA,NA,NA,"campanulate",8,"white","absent",NA,NA,NA,NA,NA,550,NA,0.475,1.8,NA,0.0725,0.01,0.24,0.11,0.07,0.525,NA,0,0
"Mimosa_bonplandii","Mimosa clade","shrub or treelet","capitula","4","yes",NA,NA,NA,"cup-shaped",4,"yellow","absent",NA,NA,NA,NA,NA,200,NA,0.475,0.675,NA,0.045,NA,0.23,0.09,0.09,0.25,0,0,0
"Mimosa_borealis","Mimosa clade","shrubs","capitula","4&5",NA,NA,NA,NA,"turbinate",8,"pink","absent","present",NA,NA,NA,NA,120,0.6,NA,1.65,0.07,0.065,NA,0.245,NA,NA,0.375,NA,0,0
"Mimosa_brevispicata","Mimosa clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Mimosa_caesalpiniifolia","Mimosa clade","trees or potentially sarmentose shrubs","spike","3","yes",NA,NA,NA,NA,6,"white","absent",NA,NA,NA,NA,NA,500,NA,0.45,5,NA,0.055,0.015,0.195,0.13,0.08,0.575,0,0,0
"Mimosa_colombiana","Mimosa clade","vines","capitula","5&6","yes",NA,NA,NA,"campanulate",10,"white","absent",NA,NA,NA,NA,NA,NA,NA,0.45,0.7,NA,0.065,NA,0.225,0.1,NA,0.275,0,0,0
"Mimosa_cruenta","Mimosa clade","subshrubs","capitula","4","yes",NA,NA,NA,"campanulate",8,"pink","absent",NA,NA,NA,NA,NA,100,NA,0.65,2.6,NA,0.095,0.0325,0.3,0.1,0.085,0.475,0,0,0
"Mimosa_cyclophylla","Mimosa clade","subshrubs","capitula","4",NA,"present",NA,NA,"paleaceous",4,NA,NA,NA,NA,NA,NA,NA,175,1,NA,6,NA,0.275,NA,0.4,0.18,0.085,0.65,1,0,0
"Mimosa_dormiens","Mimosa clade","herbs","capitula","4","yes",NA,NA,NA,"obsolete",8,"white",NA,NA,NA,NA,NA,NA,NA,0.575,0.4,2.15,NA,NA,NA,0.15,0.07,0.04,0.25,0,0,0
"Mimosa_ephedroides","Mimosa clade","shrubs","capitula","4",NA,NA,NA,NA,"campanulate",8,"white",NA,NA,NA,NA,NA,NA,200,NA,0.725,1,0.03,NA,0.035,0.295,NA,NA,0.55,NA,0,0
"Mimosa_extranea","Mimosa clade","shrubs or treelets","capitula","4&5","yes",NA,NA,NA,"narrowly campanulate",8,"white",NA,NA,NA,NA,NA,NA,225,0.5,NA,2.2,NA,0.09,0.02,0.27,0.13,0.06,0.275,0,0,0
"Mimosa_gemmulata","Mimosa clade","shrubs","spike","4",NA,NA,NA,NA,"crateriform or shallowly campanulate",8,"pink",NA,NA,NA,NA,NA,NA,175,8.5,NA,NA,NA,0.06,0.02,0.205,0.13,0.0725,0.6,NA,0,0
"Mimosa_gentryi","Mimosa clade","shrubs","capitula","4&5",NA,NA,NA,NA,"campanulate",9,"pink",NA,NA,NA,NA,NA,NA,250,0.75,NA,2,NA,0.09,0.01,0.34,0.13,0.0725,0.525,NA,0,0
"Mimosa_gracilis","Mimosa clade","herbs","capitula","4","yes","present","present",NA,"campanulate",8,"pink",NA,NA,NA,NA,NA,NA,80,NA,0.375,2.75,NA,0.03,NA,0.2,0.17,NA,0.4,1,0,1
"Mimosa_guaranitica","Mimosa clade","subshrubs","capitula","3",NA,NA,NA,NA,"campanulate",6,"pink","absent","absent",NA,NA,NA,NA,50,0.525,NA,4.25,0.01,NA,NA,0.255,0.12,0.1,0.525,NA,0,0
"Mimosa_hilariana","Mimosa clade","subshrubs","capitula","4",NA,NA,NA,NA,"irregularly denticulate",4,NA,"absent",NA,NA,NA,NA,NA,115,0.5,NA,NA,NA,0.07,0.023,0.185,0.07,0.045,NA,NA,0,0
"Mimosa_hondurana","Mimosa clade","vines","capitula","4",NA,NA,NA,NA,"campanulate",8,"white","absent",NA,NA,NA,NA,NA,300,0.4,NA,NA,NA,0.06,NA,2.15,NA,NA,NA,NA,0,0
"Mimosa_lactiflua","Mimosa clade","shrubs and treelets","raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,0,0
"Mimosa_leucaenoides","Mimosa clade","shrubs and treelets","capitula","4",NA,NA,NA,NA,"narrowly campanulate",8,"pink","absent",NA,NA,NA,NA,NA,450,0.575,NA,2,NA,0.13,0.02,0.295,NA,NA,0.4,NA,0,0
"Mimosa_manidea","Mimosa clade","rosette-trees","capitula","4",NA,NA,NA,NA,NA,8,"pink","absent",NA,NA,NA,NA,NA,300,1.45,NA,5,NA,0.055,NA,0.525,NA,NA,NA,NA,0,0
"Mimosa_margaritae","Mimosa clade","shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Mimosa_monancistra","Mimosa clade","shrubs","capitula","5",NA,NA,NA,NA,"campanulate or turbinate",10,"pink","absent",NA,NA,NA,NA,NA,180,0.85,0.525,1,NA,0.12,0.025,0.24,NA,NA,0.5,NA,0,0
"Mimosa_moniliformis","Mimosa clade","shrubs and small trees","capitula","5",NA,NA,NA,NA,"campanulate",10,"pink","absent",NA,NA,NA,NA,NA,300,0.95,0.55,1.4,NA,0.08,NA,0.3,0.11,0.06,0.5,NA,0,0
"Mimosa_orthacantha","Mimosa clade","shrubs","capitula","4",NA,"present",NA,NA,"campanulate",4,"pink","absent",NA,NA,NA,NA,NA,200,0.6,NA,1.9,NA,0.04,NA,0.245,0.07,0.055,0.675,1,0,0
"Mimosa_paludosa","Mimosa clade","shrubs, treelets","capitula","4",NA,"present",NA,NA,"campanulate",8,"pink",NA,NA,NA,NA,NA,NA,3.25,0.85,NA,2.5,NA,0.045,NA,0.275,0.115,NA,1.05,1,0,0
"Mimosa_pectinatipinna","Mimosa clade","shrubs","capitula",NA,NA,NA,NA,NA,"pappiform",NA,"pink&white",NA,NA,NA,NA,NA,NA,190,0.45,NA,1.1,NA,0.105,NA,0.195,0.06,0.05,0.4,NA,0,0
"Mimosa_pigra","Mimosa clade","shrubs","capitula","5",NA,NA,NA,NA,NA,10,"pink",NA,NA,NA,NA,NA,NA,105,0.575,NA,1.2,NA,0.0725,NA,0.165,NA,NA,0.2,NA,0,0
"Mimosa_pithecolobioides","Mimosa clade","arborescent shrubs and round-topped trees","spike","5",NA,"present",NA,NA,"campanulate",10,"yellow",NA,NA,NA,NA,NA,NA,350,0.45,NA,2.25,NA,0.095,0.03,0.225,0.1,0.0375,0.24,1,0,0
"Mimosa_pudica","Mimosa clade","subshrubs, herbs","capitula","4",NA,"present",NA,NA,"campanulate cup",4,"pink",NA,NA,NA,NA,NA,NA,120,0.425,NA,2,NA,0.015,NA,0.18,0.07,0.045,0.475,1,0,0
"Mimosa_quadrivalvis","Mimosa clade","humifuse herbs","capitula","5&6",NA,"present",NA,NA,"campanulate",10,"pink",NA,"present",NA,NA,NA,NA,120,0.75,NA,6.7,0.1,0.045,NA,0.315,0.17,0.0725,0.575,1,0,0
"Mimosa_rhododactyla","Mimosa clade","arborescent shrubs","spike","4&5&6",NA,NA,NA,NA,"campanulate or turbinate-campanulate",10,"pink",NA,"present",NA,NA,NA,NA,450,0.5,NA,NA,NA,0.105,0.0175,0.25,0.11,NA,0.45,NA,0,0
"Mimosa_sicyocarpa","Mimosa clade","scrambling or arborescent shrubs","capitula",NA,NA,NA,NA,NA,"campanulate",NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,0,0
"Mimosa_skinneri","Mimosa clade","short-lived perennial herbs","capitula","4","yes",NA,NA,NA,NA,4,"pink",NA,NA,NA,NA,NA,NA,35,0.5,NA,4.5,NA,0.02,NA,0.205,NA,NA,0.5,0,0,0
"Mimosa_somnians","Mimosa clade","subshrubs, shrubs and treelets","capitula","4",NA,"present",NA,NA,"membranous",8,"pink",NA,NA,NA,NA,NA,NA,145,0.575,NA,1.9,NA,0.0425,0.125,0.28,0.21,0.085,0.55,1,0,0
"Mimosa_spirocarpa","Mimosa clade","shrubs","spike","5","yes",NA,NA,NA,"campanulate",10,"pink",NA,NA,NA,NA,NA,NA,NA,8,0.525,NA,NA,0.12,0.035,0.245,0.11,0.0725,0.575,0,0,0
"Mimosa_townsendii","Mimosa clade","treelets","spike","4",NA,NA,NA,NA,"shallowly campanulate",8,"white",NA,"present",NA,NA,NA,NA,NA,1.15,0.4,1.25,NA,0.05,0.01,0.23,0.11,0.075,0.5,NA,0,0
"Mimosa_xanthocentra","Mimosa clade","subshrubs","capitula","4",NA,"present",NA,NA,"paleaceous-pappiform",4,"pink",NA,NA,NA,NA,NA,NA,90,0.75,0.525,1.25,NA,0.215,NA,0.23,0.11,0.055,0.725,1,0,0
"Neltuma_flexuosa","Neltuma clade","trees, large erect polypodial shrubs","raceme",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,650,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Neltuma_laevigata","Neltuma clade","tree","raceme",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,650,7,NA,NA,NA,0.1,NA,0.35,NA,NA,NA,NA,0,0
"Neltuma_ruscifolia","Neltuma clade","tree","raceme",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,850,11.5,NA,1.5,0.16,0.125,NA,0.35,NA,NA,0.6,NA,0,0
"Neptunia_lutea","Dichrostachys clade","herb","spike","5",NA,"present","present",NA,NA,10,"yellow","present","absent",NA,NA,NA,NA,240,1.45,NA,7.4,NA,0.185,0.06,0.305,NA,NA,0.73,1,0,1
"Newtonia_buchananii","Newtonia grade","tree","spike",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,2500,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Newtonia_hildebrandtii","Newtonia grade","tree","spike",NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA,NA,NA,NA,NA,2500,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Newtonia_leucocarpa","Newtonia grade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Painteria_elachistophylla","","shrubs","capitula","4&5",NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1.2,0.225,4.7,1.4,0.95,10.5,NA,0,0
"Parapiptadenia_excelsa","Stryphnodendron clade","tree","spike","5",NA,NA,NA,NA,NA,10,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Pararchidendron_pruinosum","Archidendron clade","tree, shrub","umbell","5",NA,NA,NA,NA,NA,NA,"white",NA,NA,NA,NA,NA,NA,1800,NA,NA,6.5,0.45,0.15,0.03,0.6,0.075,NA,1.2,NA,0,0
"Parasenegalia_miersii","Senegalia grade","scandent shrubs or lianes","capitula","5",NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,0.225,NA,NA,NA,NA,0,0
"Parasenegalia_skleroxyla","Senegalia grade","tree","spike","5",NA,NA,NA,NA,NA,60,NA,"present",NA,NA,NA,NA,"present",2250,10.5,1.25,1.55,NA,0.11,NA,0.21,0.21,NA,0.575,NA,1,0
"Paraserianthes_lophantha","Archidendron clade","trees","raceme","5",NA,NA,"absent",NA,"shallowly campanulate",125,"yellow",NA,"absent","present",NA,NA,NA,800,4.5,NA,1.5,NA,0.26,0.08,0.61,0.22,0.145,1.475,NA,0,0
"Parkia_discolor","Parkia clade","tree","capitula","5",NA,"present","present",NA,NA,10,NA,"present",NA,NA,NA,NA,NA,1500,5,NA,8,NA,0.7,0.05,0.825,0.075,NA,NA,1,0,1
"Parkia_filicoidea","Parkia clade","tree","capitula","5",NA,"present","present",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1900,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Parkia_nitida","Parkia clade","tree","capitula","5",NA,"present","present",NA,NA,10,NA,"present",NA,NA,NA,NA,NA,4000,6.25,5.75,9.25,NA,1.025,0.1,1.125,0.2,NA,NA,1,0,1
"Parkia_platycephala","Parkia clade","tree","capitula","5",NA,"present","present",NA,NA,10,NA,"present",NA,NA,NA,NA,NA,1800,4.5,NA,25,NA,0.9,0.175,1.1,0.625,NA,NA,1,0,1
"Parkia_ulei","Parkia clade","tree","capitula","5",NA,"present","present",NA,NA,10,NA,"present",NA,NA,NA,NA,NA,NA,1.4,NA,0.7,NA,0.325,0.05,0.4,0.1,NA,NA,1,0,1
"Pentaclethra_macrophylla","Adenanthera clade","tree","spike","5","yes",NA,NA,NA,"campanulate",10,"white",NA,NA,NA,NA,NA,NA,2750,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.6,0,0,0
"Piptadenia_adiantoides","Mimosa clade","liana, shrub","spike","5",NA,NA,NA,NA,NA,10,"yellow","present","present",NA,NA,NA,NA,900,8.95,0.65,1.35,0.02,0.18,0.015,0.41,0.175,NA,0.545,NA,0,0
