"Tip_in_tree" "rate"
"Acacia_calcicola" 0.00342840166844202
"Acacia_ixiophylla" 0.00637285955304624
"Acacia_dolichophylla" 0.00382141224460934
"Acacia_howittii" 0.0035130679096781
"Acacia_verniciflua" 0.00599315384851881
"Acacia_ausfeldii" 0.00565175727764415
"Acacia_stricta" 0.00613775703928511
"Acacia_subporosa" 0.0054252132147906
"Acacia_dodonaeifolia" 0.00268553623814415
"Acacia_ligulata" 0.00330323595056957
"Acacia_gracilifolia" 0.00623457801492527
"Acacia_montana" 0.0060584963390128
"Acacia_bynoeana" 0.00256424850634802
"Acacia_menzelii" 0.00536498804939257
"Acacia_rhetinocarpa" 0.0025606380607065
"Acacia_flexifolia" 0.00384329080785745
"Acacia_errabunda" 0.00371643138474272
"Acacia_veronica" 0.00790928561468899
"Acacia_spongolitica" 0.00290827108204682
"Acacia_sclerophylla" 0.00481427965346341
"Acacia_aculeatissima" 0.00326522987648308
"Acacia_genistifolia" 0.00461336931555099
"Acacia_verticillata" 0.00388362009801071
"Acacia_elongata" 0.00522713842182826
"Acacia_lanigera" 0.00344848547012603
"Acacia_confusa" 0.00507898714471537
"Acacia_uncinella" 0.00376525004085105
"Acacia_fragilis" 0.0081050680103564
"Acacia_triptycha" 0.00541179073758976
"Acacia_ophiolithica" 0.00634901491354086
"Acacia_assimilis" 0.00485601781661135
"Acacia_aulacophylla" 0.00307665724887865
"Acacia_dielsii" 0.00916090467136685
"Acacia_roycei" 0.00422555217378056
"Acacia_sulcata" 0.00523741434892119
"Acacia_diaphyllodinea" 0.00615767664763652
"Acacia_gemina" 0.00321972011598325
"Acacia_consanguinea" 0.00456500384222088
"Acacia_tetanophylla" 0.00523919669050934
"Acacia_ericifolia" 0.00365802688054799
"Acacia_leptospermoides" 0.00759227476807897
"Acacia_sphacelata" 0.00675761313296508
"Acacia_sessilis" 0.00378481013762028
"Acacia_cochlearis" 0.0047254532682976
"Acacia_comans" 0.00520370481575715
"Acacia_latipes" 0.00443871471770343
"Acacia_cavealis" 0.00617803300429974
"Acacia_acoma" 0.00571077003276319
"Acacia_merrallii" 0.00410632078690126
"Acacia_lachnophylla" 0.00344400642424841
"Acacia_poliochroa" 0.00431706049740769
"Acacia_pusilla" 0.00270563928190291
"Acacia_saxatilis" 0.00270469240672334
"Acacia_calcarata" 0.00310149516587482
"Acacia_peuce" 0.0045479764603275
"Acacia_semitrullata" 0.00211055644246203
"Acacia_horridula" 0.0092849444588565
"Acacia_volubilis" 0.00297494235271931
"Acacia_stenoptera" 0.00336113945339082
"Acacia_baxteri" 0.0029474992311391
"Acacia_andrewsii" 0.00335535195263763
"Acacia_melleodora" 0.00415174856419052
"Acacia_dictyophleba" 0.00183461209873012
"Acacia_sabulosa" 0.00782961948526335
"Acacia_islana" 0.0023225428726341
"Acacia_hockingsii" 0.0037762309120947
"Acacia_ixodes" 0.00465792852877516
"Acacia_sedifolia" 0.00252339877645867
"Acacia_ascendens" 0.00411780411671947
"Acacia_cognata" 0.00676554336364824
"Acacia_parramattensis" 0.00669705285323098
"Acacia_mearnsii" 0.00485631981128458
"Acacia_olsenii" 0.00404786671498536
"Acacia_deanei" 0.00374525413666579
"Acacia_fulva" 0.0061285754057849
"Acacia_schinoides" 0.00748295000314348
"Acacia_pruinosa" 0.00562727158740037
"Acacia_muelleriana" 0.00700984812079013
"Acacia_leucoclada" 0.00357361850117721
"Acacia_parvipinnula" 0.00731227552621476
"Acacia_baileyana" 0.00556340075818393
