Name_submitted,Overall_score,Name_matched,Accepted_name,Keep,Altered
Acacia gerrardii,0.982101171,Acacia gerrardi,Vachellia gerrardi,1,NA
Acacia homalophylla,1,Acacia homalophylla,Acacia omalophylla,1,NA
Calliandropsis nervosus,0.943412688,Calliandropsis nervosa,Calliandropsis nervosa,1,NA
Lysiloma candida,0.943412688,Lysiloma candidum,Lysiloma candidum,1,NA
Lysiloma microphylla,0.969450269,Lysiloma microphyllum,Lysiloma divaricatum,1,NA
Lysiloma tergemina,0.960212211,Lysiloma tergeminum,Lysiloma tergeminum,1,NA
Mimosa myriadena,0.984285103,Mimosa myriadenia,Mimosa myriadenia,1,NA
Tetrapterocarpon septentrionalis,0.977406984,Tetrapterocarpon septentrionale,Tetrapterocarpon septentrionale,1,NA
