"Name_submitted","Overall_score","Name_matched","Accepted_name","Keep","Altered"
"Acacia gerrardii",0.98210117101673,"Acacia gerrardi","Vachellia gerrardi",NA,NA
"Acacia homalophylla",1,"Acacia homalophylla",NA,NA,NA
"Calliandropsis nervosus",0.94341268848788,"Calliandropsis nervosa","Calliandropsis nervosa",NA,NA
"Lysiloma candida",0.94341268848788,"Lysiloma candidum","Lysiloma candidum",NA,NA
"Lysiloma microphylla",0.9694502693699,"Lysiloma microphyllum","Lysiloma divaricatum",NA,NA
"Lysiloma tergemina",0.96021221090168,"Lysiloma tergeminum","Lysiloma tergeminum",NA,NA
"Mimosa myriadena",0.98428510306992,"Mimosa myriadenia","Mimosa myriadenia",NA,NA
"Tetrapterocarpon septentrionalis",0.97740698358165,"Tetrapterocarpon septentrionale","Tetrapterocarpon septentrionale",NA,NA
