"Name_submitted","Overall_score","Name_matched","Accepted_name","Keep","Altered"
"Mimosa foliolosa subsp. brevibractea var. paranani",0.77149326622765,"Mimosa foliolosa subsp. brevibractea","Mimosa foliolosa subsp. brevibractea",NA,NA
"Mimosa foliolosa subsp. brevibractea var. antana",0.77149326622765,"Mimosa foliolosa subsp. brevibractea","Mimosa foliolosa subsp. brevibractea",NA,NA
"Mimosa foliolosa subsp. brevibractea var. rigens",0.77149326622765,"Mimosa foliolosa subsp. brevibractea","Mimosa foliolosa subsp. brevibractea",NA,NA
"Mimosa pellita var. pellita",0.59957384396743,"Mimosa pellita","Mimosa pigra var. pigra",NA,NA
"Mimosa somnians subsp. somnians",0.96021221090168,"Mimosa somnians var. somnians","Mimosa somnians var. somnians",NA,NA
"Mimosa somnians subsp. somnians var. somnians",0.61422004211051,"Mimosa somnians var. somnians","Mimosa somnians var. somnians",NA,NA
"Mimosa somnians subsp. somnians var. deminuta",0.61422004211051,"Mimosa somnians var. somnians","Mimosa somnians var. somnians",NA,NA
"Mimosa somnians subsp. lasiocarpa var. lasiocarpa",0.77149326622765,"Mimosa somnians subsp. lasiocarpa","Mimosa somnians var. lasiocarpa",NA,NA
"Mimosa somnians subsp. lasiocarpa var. lupulina",0.77149326622765,"Mimosa somnians subsp. lasiocarpa","Mimosa somnians var. lasiocarpa",NA,NA
"Mimosa somnians subsp. viscida var. viscida",0.77149326622765,"Mimosa somnians subsp. viscida","Mimosa somnians var. somnians",NA,NA
"Mimosa somnians subsp. viscida var. leptocaulis",0.77149326622765,"Mimosa somnians subsp. viscida","Mimosa somnians var. somnians",NA,NA
"Mimosa somnians subsp. viscida var. aquatica",0.77149326622765,"Mimosa somnians subsp. viscida","Mimosa somnians var. somnians",NA,NA
"Mimosa somnians subsp. viscida var. velascoensis",0.77149326622765,"Mimosa somnians subsp. viscida","Mimosa somnians var. somnians",NA,NA
"Mimosa somnians subsp. longipes var. longipes",0.77149326622765,"Mimosa somnians subsp. longipes","Mimosa somnians var. longipes",NA,NA
