"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"51","Mimosa egregia",1,"167599","Mimosa egregia",1,"species","","",NA,"Sandwith","Fabaceae","Mimosa","Mimosa",1,"egregia","egregia",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161638-2","","Y","Accepted","Mimosa egregia","Mimosa egregia","Sandwith","167599","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161638-2","","Fabaceae","1","1","wcvp","0",""
"52","Mimosa spirocarpa",1,"167733","Mimosa spirocarpa",1,"species","","",NA,"Rose","Fabaceae","Mimosa","Mimosa",1,"spirocarpa","spirocarpa",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161992-2","","Y","Accepted","Mimosa spirocarpa","Mimosa spirocarpa","Rose","167733","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161992-2","","Fabaceae","1","1","wcvp","0",""
"53","Mimosa xochipalensis",1,"177649","Mimosa xochipalensis",1,"species","","",NA,"R.Grether","Fabaceae","Mimosa","Mimosa",1,"xochipalensis","xochipalensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280955-2","","Y","Accepted","Mimosa xochipalensis","Mimosa xochipalensis","R.Grether","177649","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280955-2","","Fabaceae","1","1","wcvp","0",""
"54","Mimosa polyantha",1,"176458","Mimosa polyantha",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"polyantha","polyantha",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508515-1","","Y","Accepted","Mimosa polyantha","Mimosa polyantha","Benth.","176458","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508515-1","","Fabaceae","1","1","wcvp","0",""
"55","Mimosa distachya",1,"172306","Mimosa distachya",1,"species","","",NA,"Cav.","Fabaceae","Mimosa","Mimosa",1,"distachya","distachya",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:317695-2","","Y","Accepted","Mimosa distachya","Mimosa distachya","Cav.","172306","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:317695-2","","Fabaceae","1","1","wcvp","0",""
"56","Mimosa distachya var. distachya",1,"1375603","Mimosa distachya var. distachya",1,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"distachya","distachya",1,"","",NA,"var.","distachya",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190477-1","","Y","Accepted","Mimosa distachya var. distachya","Mimosa distachya","","1375603","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190477-1","","Fabaceae","1","1","wcvp","0",""
"57","Mimosa distachya var. laxiflora",1,"205301","Mimosa distachya var. laxiflora",1,"variety","","",NA,"(Benth.) Barneby","Fabaceae","Mimosa","Mimosa",1,"distachya","distachya",1,"","",NA,"var.","laxiflora",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967244-1","","Y","Accepted","Mimosa distachya var. laxiflora","Mimosa distachya","(Benth.) Barneby","205301","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967244-1","","Fabaceae","1","1","wcvp","0",""
"58","Mimosa distachya var. oligacantha",1,"1369720","Mimosa distachya var. oligacantha",1,"variety","","",NA,"(DC.) Barneby","Fabaceae","Mimosa","Mimosa",1,"distachya","distachya",1,"","",NA,"var.","oligacantha",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967245-1","","Y","Accepted","Mimosa distachya var. oligacantha","Mimosa distachya","(DC.) Barneby","1369720","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967245-1","","Fabaceae","1","1","wcvp","0",""
"59","Mimosa distachya var. chamelae",1,"1369719","Mimosa distachya var. chamelae",1,"variety","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"distachya","distachya",1,"","",NA,"var.","chamelae",1,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312701-2","","Y","Accepted","Mimosa distachya var. chamelae","Mimosa distachya","Barneby","1369719","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312701-2","","Fabaceae","1","1","wcvp","0",""
"60","Mimosa rosei",1,"1040276","Mimosa rosei",1,"species","","",NA,"B.L.Rob.","Fabaceae","Mimosa","Mimosa",1,"rosei","rosei",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161953-2","","Y","Accepted","Mimosa rosei","Mimosa rosei","B.L.Rob.","1040276","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161953-2","","Fabaceae","1","1","wcvp","0",""
"61","Mimosa quitensis",1,"167713","Mimosa quitensis",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"quitensis","quitensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508580-1","","Y","Accepted","Mimosa quitensis","Mimosa quitensis","Benth.","167713","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508580-1","","Fabaceae","1","1","wcvp","0",""
"62","Mimosa weberbaueri",1,"167753","Mimosa weberbaueri",1,"species","","",NA,"Harms","Fabaceae","Mimosa","Mimosa",1,"weberbaueri","weberbaueri",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:162065-2","","Y","Accepted","Mimosa weberbaueri","Mimosa weberbaueri","Harms","167753","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:162065-2","","Fabaceae","1","1","wcvp","0",""
