Name_submitted,Overall_score,Name_matched,Accepted_name,Keep,Altered
Mimosa somnians subsp. somnians,0.960212211,Mimosa somnians var. somnians,Mimosa somnians var. somnians,1,NA
Mimosa somnians subsp. somnians var. somnians,0.614220042,Mimosa somnians var. somnians,Mimosa somnians var. somnians,1,NA
Mimosa somnians subsp. somnians var. deminuta,0.614220042,Mimosa somnians var. somnians,Mimosa somnians var. deminuta,1,NA
Mimosa somnians subsp. lasiocarpa var. lasiocarpa,0.771493266,Mimosa somnians subsp. lasiocarpa,Mimosa somnians var. lasiocarpa,1,NA
Mimosa somnians subsp. lasiocarpa var. lupulina,0.771493266,Mimosa somnians subsp. lasiocarpa,Mimosa somnians var. lupulina,1,NA
Mimosa somnians subsp. viscida var. viscida,0.771493266,Mimosa somnians subsp. viscida,Mimosa somnians var. somnians,1,NA
Mimosa somnians subsp. viscida var. leptocaulis,0.771493266,Mimosa somnians subsp. viscida,Mimosa somnians var. leptocaulis,1,NA
Mimosa somnians subsp. viscida var. aquatica,0.771493266,Mimosa somnians subsp. viscida,Mimosa somnians var. somnians,1,1
Mimosa somnians subsp. viscida var. velascoensis,0.771493266,Mimosa somnians subsp. viscida,Mimosa somnians var. velascoensis,1,NA
Mimosa somnians subsp. longipes var. longipes,0.771493266,Mimosa somnians subsp. longipes,Mimosa somnians var. longipes,1,NA
Mimosa somnians subsp. longipes var. possensis,0.771493266,Mimosa somnians subsp. longipes,Mimosa somnians var. possensis,1,1
Mimosa microcephala subsp. cataractae var. cataractae,0.771493266,Mimosa microcephala subsp. cataractae,Mimosa microcephala subsp. cataractae,1,1
Mimosa microcephala subsp. cataractae var. lumaria,0.771493266,Mimosa microcephala subsp. cataractae,Mimosa microcephala var.. Lumaria,1,1
Mimosa microcephala subsp. microcephala var. communis Barneby,0.771493266,Mimosa microcephala subsp. microcephala,Mimosa microcephala var. communis,1,1
Mimosa microcephala subsp. microcephala var. microcephala,0.771493266,Mimosa microcephala subsp. microcephala,Mimosa microcephala subsp. microcephala,1,1
Mimosa microcephala subsp. microcephala var. mituensis,0.771493266,Mimosa microcephala subsp. microcephala,Mimosa microcephala var. mituensis,1,1
Mimosa occidentalis var. novo-galiciana,0.993310944,Mimosa occidentalis var. novogaliciana,Mimosa occidentalis var. novogaliciana,1,NA
Mimosa glazioui,0.953224101,Mimosa glaziovii,Mimosa glaziovii,1,NA
Mimosa nuda var. nuda,0.599573844,Mimosa nuda,Mimosa debilis var. debilis,1,NA
Mimosa dolens subsp. acerba var. acerba,0.771493266,Mimosa dolens subsp. acerba,Mimosa dolens subsp. acerba,1,NA
Mimosa dolens subsp. acerba var. latifolia,0.771493266,Mimosa dolens subsp. acerba,Mimosa dolens var. latifolia,1,1
Mimosa dolens subsp. acerba var. rudis,0.771493266,Mimosa dolens subsp. acerba,Mimosa dolens var. rudis,1,1
Mimosa dolens subsp. acerba var. uncta,0.771493266,Mimosa dolens subsp. acerba,Mimosa dolens var. uncta,1,1
Mimosa dolens subsp. acerba var. pubescens,0.771493266,Mimosa dolens subsp. acerba,Mimosa dolens var. pubescens,1,1
Mimosa dolens subsp. acerba var. psendorigida,0.771493266,Mimosa dolens subsp. acerba,Mimosa dolens var. pseudorigida,1,1
Mimosa dolens subsp. rigida var. rigida,0.771493266,Mimosa dolens subsp. rigida,Mimosa dolens var. rigida,1,1
Mimosa dolens subsp. rigida var. rigescens,0.771493266,Mimosa dolens subsp. rigida,Mimosa dolens var. rigens,1,1
Mimosa dolens subsp. rigida var. foliolosa,0.771493266,Mimosa dolens subsp. rigida,Mimosa dolens var. foliolosa,1,1
Mimosa dolens subsp. rigida var. anisitsii,0.771493266,Mimosa dolens subsp. rigida,Mimosa dolens var. anisitsii,1,1
