"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","Phylo_nitfix","NGS_acacia","flora_AUS_traits"
"Acacia_deanei","Shrub or tree",NA,"","","","","","","","",NA,"",NA,"","","","","",425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_deanei_deanei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_deanei_paucijuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
"Acacia_pedleyi","tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_storyi","Shrub or tree",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_olsenii","Tree",NA,"","","","","","","","",NA,"",NA,"","","","","",900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_silvestris","tree",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_parramattensis","Shrub or tree",NA,"","","","","","","","",NA,"",NA,"","","","","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_mearnsii","shrub or mostly erect tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_loroloba","Shrub or tree",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_constablei","shrub",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_decurrens","Tall shrub to tree",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_dangarensis","Tree",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_nanodealbata","Tree",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_dealbata","shrub or spreading tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_dealbata_dealbata","Shrub or spreading tree",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_dealbata_subalpina","shrub or tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_mollifolia","shrub or tree",NA,"Heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_irrorata","shrub or tree",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_irrorata_irrorata","Tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_irrorata_velutinella","Tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_trachyphloia","shrub or tree",NA,"racemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_mitchellii","Shrub",NA,"heads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_binervata","Bushy tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",650,4.5,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"Acacia_penninervis","Shrub or small tree",NA,"racemose",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",800,7.5,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_penninervis_penninervis",NA,NA,"Raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_penninervis_longiracemosa",NA,NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_falciformis","Shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1200,6,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"Acacia_obliquinervia","Shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",800,6,NA,0.325,0.325,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_caerulescens","Tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1250,6.5,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_saliciformis","shrub or tree",NA,"racemose","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",475,4.75,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Acacia_wardellii","shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",600,2.75,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"Acacia_bancroftiorum","shrub or slender tree",NA,"raceme","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",600,5.5,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
