"clade","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","Phylo_nitfix","NGS_acacia","flora_AUS_traits"
"1","Acacia_georginae","Tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,0.6,0.425,0.95,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_oxycedrus","Tree or shrub",NA,"spikes",NA,"4-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,3.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"1","Acacia_acradenia","shrub",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,4.25,NA,NA,NA,NA,0.105,NA,0.2,NA,NA,NA,1,0,1
"1","Acacia_trachycarpa","Shrub or small tree",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,1.45,NA,NA,NA,NA,0.07,NA,0.145,NA,NA,NA,1,1,1
"1","Acacia_omalophylla","Tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0.3,0.45,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_caroleae","Shrub or fastigiate tree",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,1.6,NA,NA,NA,NA,0.08,NA,0.15,NA,NA,NA,1,0,1
"1","Acacia_sulcata","shrub",NA,"heads","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,0.35,0.35,0.95,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_hammondii","Shrub or tree",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,"cupular",5,NA,NA,NA,NA,NA,NA,NA,400,2.1,NA,NA,NA,NA,0.075,NA,0.16,NA,NA,NA,1,0,1
"1","Acacia_multispicata","Shrub",NA,"simple","obloid to cylindrical","4-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,1.15,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_oldfieldii","Shrub to straggly tree",NA,"spikes",NA,"4-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,3.75,0.45,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_loderi","Shrub or tree",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,0.45,0.55,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_subporosa","Tree",NA,"heads","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,0.65,0.65,0.85,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_cuthbertsonii","shrub or tree",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,2.2,0.35,0.65,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_uncinella","Shrub",NA,"heads","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,0.365,0.45,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"1","Acacia_bulgaensis","Shrub or small tree",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,"nearly truncate or dissected",NA,NA,NA,NA,NA,NA,NA,NA,475,4.1,NA,NA,NA,NA,0.055,NA,0.165,NA,NA,NA,1,0,1
"10","Acacia_sericata","Shrub or tree",NA,NA,NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"11","Acacia_wiseana","shrub",NA,NA,NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"12","Acacia_willdenowiana","shrub",NA,"racemose",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,6.5,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"13","Acacia_iteaphylla","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,3,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"14","Acacia_hemiteles","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1.1,NA,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,1,0,1
"15","Acacia_microcarpa","shrub",NA,"racemes","globular","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"16","Acacia_nodiflora","shrub",NA,"simple","globular to shortly obloid","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"17","Acacia_anaticeps","Shrubby tree",NA,"heads",NA,"5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,1.35,NA,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,1,0,1
